game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
1,100,16,18,48203,"2034-3-30",1240,0,1,0,9,2,3,5,6,2,1,17865,16672,12277,16672,17865
2,100,10,27,48919,"2034-3-30",1310,0,1,0,9,1,11,5,12,1,2,20422,9755,0,9755,20422
3,100,28,26,34951,"2034-3-30",1310,0,1,0,9,4,5,5,6,1,0,13716,13901,8248,13901,16706
4,100,2,11,45757,"2034-3-30",1505,0,1,0,9,1,3,3,4,0,1,14825,14855,11947,14855,18987
5,100,1,5,39484,"2034-3-30",1435,0,1,0,9,0,2,2,5,0,0,11719,14318,23158,14318,11719
6,100,15,13,53294,"2034-3-30",1305,0,1,0,9,4,7,7,8,1,1,16547,14910,10288,14910,16547
7,100,12,4,48011,"2034-3-30",1600,0,1,0,9,4,3,7,6,2,0,815,15251,17975,815,12903
8,100,3,6,44059,"2034-3-30",1305,0,1,0,9,1,8,5,13,1,0,18231,9720,0,9720,18231
9,100,29,22,44016,"2034-3-30",1305,0,1,0,9,7,5,9,11,1,0,13066,17110,11603,16703,20050
10,100,21,30,48514,"2034-3-30",1610,0,1,0,9,7,3,12,7,0,0,18116,11472,0,18116,11472
11,100,24,19,39082,"2034-3-30",1305,0,1,0,9,1,7,8,12,0,0,17992,9856,0,9856,17992
12,100,9,14,34922,"2034-3-30",1515,0,1,0,9,3,12,8,15,1,0,22627,9775,0,9775,22627
13,100,20,23,52753,"2034-3-30",1608,0,1,0,9,8,2,8,10,0,0,10051,14381,0,18979,14381
14,100,8,7,43894,"2034-3-30",1910,0,1,0,9,6,2,8,4,0,1,13583,18794,0,13583,18794
15,100,25,17,42357,"2034-3-30",1910,0,1,0,11,3,1,5,4,0,1,22852,17045,0,15047,21842
16,100,15,13,43558,"2034-3-31",1905,0,1,0,9,1,6,6,6,1,0,10039,1353,0,1353,10039
17,100,12,4,31101,"2034-3-31",1305,0,1,0,9,2,4,7,7,1,0,16676,7854,19004,7854,16676
18,100,16,18,38350,"2034-3-31",1305,0,1,0,9,9,5,17,7,0,0,1457,11428,0,1457,11428
19,100,21,30,31009,"2034-3-31",1935,0,1,0,15,2,3,5,13,0,3,24631,8855,0,16618,17911
20,100,1,5,25179,"2034-3-31",1905,0,1,0,9,4,3,11,7,0,1,19311,13039,18792,19311,10015
21,100,25,17,25270,"2034-3-31",1840,0,1,0,9,4,6,12,7,0,0,11439,16641,17045,16641,11439
22,100,3,6,34259,"2034-3-31",1905,0,1,0,9,6,7,13,12,1,0,17518,13423,11153,23038,14744
23,100,29,22,33169,"2034-3-31",1905,0,1,0,9,6,8,9,11,1,1,18942,12778,17110,16571,21954
24,100,20,23,38728,"2034-3-31",1910,0,1,0,9,8,5,11,8,0,0,9829,9272,14896,9829,9272
25,100,10,27,40150,"2034-4-1",1310,0,1,0,9,3,9,5,14,2,0,497,9850,0,9850,497
26,100,28,26,24837,"2034-4-1",1310,0,1,0,9,3,5,8,9,1,1,4341,6275,8248,6275,4341
27,100,24,19,28961,"2034-4-1",1905,0,1,0,9,5,3,11,7,0,1,19012,15894,20538,19012,15894
28,100,1,5,26495,"2034-4-1",1505,0,1,0,9,14,3,14,5,1,0,17080,9157,0,17080,19848
29,100,3,6,38471,"2034-4-1",1305,0,1,0,9,1,2,9,7,0,1,3354,15476,11153,15476,3354
30,100,15,13,48428,"2034-4-1",1607,0,1,0,9,3,2,6,4,1,0,3969,6732,16891,13748,19281
31,100,8,7,41296,"2034-4-1",1310,0,1,0,9,12,11,16,14,1,0,11789,1173,18999,18225,10219
32,100,12,4,34044,"2034-4-1",1905,0,1,0,9,5,9,6,12,0,0,19302,25228,0,25228,19302
33,100,2,11,27769,"2034-4-1",1905,0,1,0,9,7,0,8,5,0,1,20403,14067,0,20403,14067
34,100,16,18,33692,"2034-4-1",1905,0,1,0,9,3,5,7,6,1,1,12630,14930,12277,14930,11796
