human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,cera,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,13,2018,100,0,0,1,1,5665,1451,6649,2456,1585,1115,441,767,875,798,1582,1415,24799,0,695,162,64,98,40,1060,333,92,38,38,154,10,1,33,55,86,159,164,71,66,25,533,3,1,72,35,65,15.1220,0.2798,0.3719,0.4335,0.8054,9.8312,6.9159,0.9552,4.7574,0.0185,'',0.0000,0.4383,0.3951,2.7222,0.6154,0.3788,0.2983,4.9497,35.6820,0.0000,1.6210,0.5279,1.4537,0.3227
1,13,2019,100,0,0,1,1,5637,1449,6442,2331,1508,1173,519,640,755,703,1454,1502,24025,1,712,162,87,75,46,1025,298,50,39,30,155,6,1,21,55,75,157,165,67,71,24,550,5,2,80,23,103,13.8043,0.2675,0.3478,0.4135,0.7614,9.3643,7.2840,0.9625,3.9742,0.0309,'',0.0000,0.4136,0.5370,3.2037,0.6571,0.3380,0.2855,4.3655,33.7430,0.0000,1.4821,0.4919,1.8328,0.3112
1,13,2020,100,0,0,1,1,5669,1460,6599,2491,1561,1147,442,748,853,785,1528,1467,24614,0,693,162,69,93,33,1024,322,56,38,37,178,7,0,42,48,88,158,158,65,54,21,531,4,2,67,26,51,14.7760,0.2754,0.3663,0.4394,0.8058,9.6226,7.0705,1.0973,4.6110,0.0247,'',0.0000,0.4012,0.4259,2.7284,0.6111,0.3889,0.2976,4.8390,35.5180,0.0000,1.5815,0.5102,1.5334,0.3156
1,13,2021,100,0,0,1,1,5691,1441,6606,2504,1615,1193,476,731,884,807,1512,1388,24915,0,625,162,66,96,40,1081,339,67,36,35,160,3,1,35,54,80,159,160,63,69,27,463,3,1,83,28,54,15.1520,0.2838,0.3711,0.4400,0.8111,10.0867,7.4511,0.9993,4.5656,0.0185,'',0.0000,0.3889,0.4074,2.9383,0.5970,0.3913,0.3434,5.0402,39.8640,0.0000,1.6280,0.5214,1.6320,0.3326
1,13,2022,100,0,0,1,1,5665,1428,6489,2699,1647,1023,438,635,923,868,1537,1506,24207,0,708,162,56,106,37,1046,352,67,47,47,202,8,1,50,55,74,160,146,64,63,26,546,2,0,75,39,76,14.8487,0.2907,0.3669,0.4764,0.8434,10.3803,6.4475,1.2731,4.0021,0.0123,'',0.0000,0.3951,0.3457,2.7037,0.5873,0.4127,0.2930,5.4706,34.1907,0.0000,1.5980,0.5051,1.6110,0.3220
1,13,2023,100,0,0,1,1,5721,1418,6615,2803,1774,1058,456,687,1043,985,1565,1378,24611,0,663,162,41,121,19,1161,378,62,48,54,181,12,1,33,67,96,161,182,58,52,33,501,1,1,94,29,57,16.2292,0.3101,0.3903,0.4899,0.8802,11.2595,6.7151,1.1488,4.3604,0.0062,'',0.0000,0.3580,0.2531,2.8148,0.3654,0.6346,0.3214,6.2518,37.1207,0.0000,1.7355,0.5318,1.5400,0.3517
1,13,2024,100,0,0,1,1,5584,1443,6281,2297,1483,1103,420,511,760,701,1618,1400,23137,1,595,162,67,95,34,989,312,73,46,44,138,4,3,29,41,64,160,140,73,55,19,433,2,1,83,25,54,12.8328,0.2656,0.3317,0.4114,0.7430,9.2473,6.8778,0.8605,3.1864,0.0123,'',0.0000,0.4506,0.4136,2.5926,0.6415,0.3455,0.3695,4.3711,38.8857,0.0000,1.3815,0.5361,2.1585,0.3064
1,13,2025,100,0,0,1,1,5706,1447,6492,2448,1565,999,473,603,879,774,1676,1475,23751,2,614,162,78,84,42,1036,330,63,48,44,155,9,1,36,50,71,160,143,60,61,18,452,2,0,63,24,57,13.9196,0.2743,0.3483,0.4290,0.7773,9.7294,6.2107,0.9636,3.7488,0.0123,'',0.0000,0.3704,0.4815,2.9198,0.7000,0.2951,0.3540,4.8119,38.6824,0.0000,1.4976,0.5319,1.6567,0.3065
1,13,2026,100,0,0,1,1,5706,1476,6407,2392,1521,1216,629,533,746,702,1573,1427,23685,0,633,162,95,67,46,1000,323,57,29,46,152,6,0,31,43,82,160,129,67,74,25,471,2,1,69,41,55,13.0244,0.2666,0.3364,0.4192,0.7556,9.2744,7.4146,0.9268,3.2500,0.0123,'',0.0000,0.4136,0.5864,3.8827,0.6479,0.3378,0.3397,4.2805,37.4171,0.0000,1.3916,0.5243,2.2814,0.3135
1,13,2027,100,0,0,1,1,5751,1462,6466,2474,1578,1199,622,542,852,781,1593,1404,24301,2,636,162,89,73,41,1032,354,65,36,34,158,5,0,12,63,72,160,132,73,74,31,474,2,0,84,18,49,13.4877,0.2744,0.3424,0.4302,0.7726,9.7097,7.3776,0.9722,3.3350,0.0123,'',0.0000,0.4506,0.5494,3.8395,0.5694,0.4189,0.3376,4.8056,38.2091,0.0000,1.4494,0.5315,2.2122,0.3205
1,13,2028,100,0,0,1,1,5523,1465,6192,2148,1336,1147,570,531,645,618,1595,1466,22712,0,578,162,91,71,51,881,270,52,31,13,172,7,1,25,50,54,156,130,92,79,25,416,6,3,59,26,49,11.8014,0.2419,0.3129,0.3889,0.7018,8.2075,7.0464,1.0567,3.2621,0.0370,'',0.0000,0.5679,0.5617,3.5185,0.6711,0.3165,0.3750,3.7966,39.2941,0.0000,1.2744,0.5211,2.1601,0.2749
1,13,2029,100,0,0,1,1,5549,1452,6216,2398,1394,1410,607,525,713,689,1461,1306,23477,2,655,162,98,64,49,853,296,47,33,27,218,4,2,19,73,60,159,116,79,82,31,493,3,0,60,29,64,12.2609,0.2512,0.3209,0.4321,0.7531,8.6365,8.7357,1.3506,3.2526,0.0185,'',0.0000,0.4877,0.6049,3.7469,0.6125,0.3780,0.3225,4.2687,35.8427,0.0000,1.3210,0.5280,2.6857,0.2974
1,13,2030,100,0,0,1,1,5559,1462,6210,2410,1362,1602,695,522,738,698,1377,1232,23463,1,621,162,107,55,51,824,267,40,32,32,239,4,3,27,60,54,161,116,79,79,25,459,1,1,69,31,70,11.9275,0.2450,0.3143,0.4335,0.7478,8.3825,9.8596,1.4709,3.2127,0.0062,'',0.0000,0.4877,0.6605,4.2901,0.6711,0.3165,0.3508,4.2959,37.7826,0.0000,1.2884,0.5278,3.0690,0.2995
1,13,2031,100,0,0,1,1,5510,1457,6186,2469,1369,1363,600,542,761,718,1463,1347,23142,1,576,162,85,77,45,790,303,43,39,31,245,1,0,25,64,52,158,144,84,66,20,414,4,1,66,23,41,12.1228,0.2485,0.3196,0.4481,0.7676,8.4545,8.4174,1.5130,3.3472,0.0247,'',0.0000,0.5185,0.5247,3.7037,0.6923,0.3030,0.3816,4.4341,40.1771,0.0000,1.3113,0.5206,2.5148,0.2852
1,13,2032,100,0,0,1,1,5530,1438,6148,2418,1413,1285,635,492,764,714,1384,1458,23041,0,609,162,90,72,52,880,285,39,39,24,224,4,0,11,47,48,159,124,87,77,22,447,3,0,66,19,68,12.2232,0.2555,0.3197,0.4373,0.7569,8.8435,8.0424,1.4019,3.0793,0.0185,'',0.0000,0.5370,0.5556,3.9198,0.7027,0.2857,0.3557,4.4687,37.8342,0.0000,1.3248,0.4870,2.6118,0.2929
1,13,2033,100,0,0,1,1,5678,1453,6384,2653,1543,1246,500,528,860,819,1441,1491,23535,0,688,162,76,86,42,952,317,55,40,29,245,6,3,14,74,80,156,129,50,72,26,526,6,4,62,26,59,13.3235,0.2718,0.3400,0.4672,0.8073,9.5575,7.7178,1.5175,3.2705,0.0370,'',0.0000,0.3086,0.4691,3.0864,0.6176,0.3611,0.2966,5.0730,34.2078,0.0000,1.4253,0.4915,2.3598,0.3071
1,13,2034,100,0,0,1,1,5463,1436,6234,2384,1392,1410,418,618,826,786,1348,1354,23715,2,679,162,71,91,43,854,300,55,37,22,216,7,1,16,75,60,161,139,39,74,30,517,1,0,64,30,71,12.9675,0.2548,0.3351,0.4364,0.7715,8.7202,8.8329,1.3531,3.8715,0.0062,'',0.0000,0.2407,0.4383,2.5802,0.5890,0.4054,0.3114,4.9239,34.9264,0.0000,1.3991,0.4989,2.2816,0.3036
