league_id,start_date,type,event_over,deleted,name,gender,needs_human_action
100,"2034-10-30",16,0,0,"Offseason starts",0,0
100,"2034-11-7",25,0,0,"Great Glove Award announced",0,0
100,"2034-11-8",32,0,0,"Reliever of the Year Award announced",0,0
100,"2034-11-9",31,0,0,"Platinum Stick Award announced",0,0
100,"2034-11-10",24,0,0,"Rookie of the Year Award announced",0,0
100,"2034-11-11",21,0,0,"Manager of the Year announced",0,0
100,"2034-11-12",23,0,0,"Pitcher of the Year Award announced",0,0
100,"2034-11-13",22,0,0,"Most Valuable Player Award announced",0,0
100,"2034-11-20",8,0,0,"Salary Arbitration Hearings",0,0
100,"2034-11-22",17,0,0,"Free Agency Filings",0,0
100,"2034-12-9",18,0,0,"Winter Meetings start",0,0
100,"2034-12-12",19,0,0,"Winter Meetings end",0,0
100,"2034-12-23",4,0,0,"Rule 5 Draft",0,1
100,"2035-1-23",10,0,0,"Preseason begins",0,0
100,"2035-2-20",11,0,0,"Spring Training begins",0,0
100,"2034-3-30",12,0,0,"OPENING DAY",0,0
100,"2034-4-10",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
100,"2034-4-17",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
100,"2034-4-24",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
100,"2034-5-1",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
100,"2034-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
100,"2034-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
100,"2034-5-1",103,0,0,"Rookie of the Month Award Announcement",0,0
100,"2034-5-8",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
100,"2034-5-15",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
100,"2034-5-22",104,0,0,"Player of the Week Award Announcement, Week no. 21",0,0
100,"2034-5-29",104,0,0,"Player of the Week Award Announcement, Week no. 22",0,0
100,"2034-6-1",101,0,0,"Batter of the Month Award Announcement",0,0
100,"2034-6-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
100,"2034-6-1",103,0,0,"Rookie of the Month Award Announcement",0,0
100,"2034-6-5",104,0,0,"Player of the Week Award Announcement, Week no. 23",0,0
100,"2034-6-12",104,0,0,"Player of the Week Award Announcement, Week no. 24",0,0
100,"2034-6-19",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
100,"2034-6-26",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
100,"2034-7-1",101,0,0,"Batter of the Month Award Announcement",0,0
100,"2034-7-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
100,"2034-7-1",103,0,0,"Rookie of the Month Award Announcement",0,0
100,"2034-7-3",104,0,0,"Player of the Week Award Announcement, Week no. 27",0,0
100,"2034-7-10",104,0,0,"Player of the Week Award Announcement, Week no. 28",0,0
100,"2034-7-17",104,0,0,"Player of the Week Award Announcement, Week no. 29",0,0
100,"2034-7-24",104,0,0,"Player of the Week Award Announcement, Week no. 30",0,0
100,"2034-7-31",104,0,0,"Player of the Week Award Announcement, Week no. 31",0,0
100,"2034-8-1",101,0,0,"Batter of the Month Award Announcement",0,0
100,"2034-8-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
100,"2034-8-1",103,0,0,"Rookie of the Month Award Announcement",0,0
100,"2034-8-7",104,0,0,"Player of the Week Award Announcement, Week no. 32",0,0
100,"2034-8-14",104,0,0,"Player of the Week Award Announcement, Week no. 33",0,0
100,"2034-8-21",104,0,0,"Player of the Week Award Announcement, Week no. 34",0,0
100,"2034-8-28",104,0,0,"Player of the Week Award Announcement, Week no. 35",0,0
100,"2034-9-1",101,0,0,"Batter of the Month Award Announcement",0,0
100,"2034-9-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
100,"2034-9-1",103,0,0,"Rookie of the Month Award Announcement",0,0
100,"2034-9-4",104,0,0,"Player of the Week Award Announcement, Week no. 36",0,0
100,"2034-9-11",104,0,0,"Player of the Week Award Announcement, Week no. 37",0,0
100,"2034-9-18",104,0,0,"Player of the Week Award Announcement, Week no. 38",0,0
101,"2034-4-7",12,0,0,"OPENING DAY",0,0
101,"2034-4-17",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
101,"2034-4-24",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
101,"2034-5-1",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
101,"2034-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
101,"2034-5-8",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
101,"2034-5-15",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
101,"2034-5-22",104,0,0,"Player of the Week Award Announcement, Week no. 21",0,0
101,"2034-5-29",104,0,0,"Player of the Week Award Announcement, Week no. 22",0,0
101,"2034-6-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-6-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
101,"2034-6-5",104,0,0,"Player of the Week Award Announcement, Week no. 23",0,0
101,"2034-6-12",104,0,0,"Player of the Week Award Announcement, Week no. 24",0,0
101,"2034-6-19",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
101,"2034-6-26",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
101,"2034-7-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-7-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
101,"2034-7-3",104,0,0,"Player of the Week Award Announcement, Week no. 27",0,0
101,"2034-7-10",104,0,0,"Player of the Week Award Announcement, Week no. 28",0,0
101,"2034-7-17",104,0,0,"Player of the Week Award Announcement, Week no. 29",0,0
101,"2034-7-24",104,0,0,"Player of the Week Award Announcement, Week no. 30",0,0
101,"2034-7-31",104,0,0,"Player of the Week Award Announcement, Week no. 31",0,0
101,"2034-8-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-8-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
101,"2034-8-7",104,0,0,"Player of the Week Award Announcement, Week no. 32",0,0
101,"2034-8-14",104,0,0,"Player of the Week Award Announcement, Week no. 33",0,0
101,"2034-8-21",104,0,0,"Player of the Week Award Announcement, Week no. 34",0,0
101,"2034-8-28",104,0,0,"Player of the Week Award Announcement, Week no. 35",0,0
101,"2034-9-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-9-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
101,"2034-9-4",104,0,0,"Player of the Week Award Announcement, Week no. 36",0,0
101,"2034-9-11",104,0,0,"Player of the Week Award Announcement, Week no. 37",0,0
101,"2034-10-1",101,0,0,"Batter of the Month Award Announcement",0,0
101,"2034-10-16",16,0,0,"Offseason starts",0,0
101,"2034-10-24",25,0,0,"Great Glove Award announced",0,0
101,"2034-10-25",32,0,0,"Reliever of the Year Award announced",0,0
101,"2034-10-26",31,0,0,"Platinum Stick Award announced",0,0
102,"2034-4-11",12,0,0,"OPENING DAY",0,0
102,"2034-4-17",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
102,"2034-4-24",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
102,"2034-5-1",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
102,"2034-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
102,"2034-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
102,"2034-5-8",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
102,"2034-5-15",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
102,"2034-5-22",104,0,0,"Player of the Week Award Announcement, Week no. 21",0,0
102,"2034-5-29",104,0,0,"Player of the Week Award Announcement, Week no. 22",0,0
102,"2034-6-1",101,0,0,"Batter of the Month Award Announcement",0,0
102,"2034-6-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
102,"2034-6-5",104,0,0,"Player of the Week Award Announcement, Week no. 23",0,0
102,"2034-6-12",104,0,0,"Player of the Week Award Announcement, Week no. 24",0,0
102,"2034-6-19",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
102,"2034-6-26",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
102,"2034-7-1",101,0,0,"Batter of the Month Award Announcement",0,0
102,"2034-7-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
102,"2034-7-3",104,0,0,"Player of the Week Award Announcement, Week no. 27",0,0
102,"2034-7-10",104,0,0,"Player of the Week Award Announcement, Week no. 28",0,0
102,"2034-7-17",104,0,0,"Player of the Week Award Announcement, Week no. 29",0,0
102,"2034-7-24",104,0,0,"Player of the Week Award Announcement, Week no. 30",0,0
102,"2034-7-31",104,0,0,"Player of the Week Award Announcement, Week no. 31",0,0
102,"2034-8-1",101,0,0,"Batter of the Month Award Announcement",0,0
102,"2034-8-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
102,"2034-8-7",104,0,0,"Player of the Week Award Announcement, Week no. 32",0,0
102,"2034-8-14",104,0,0,"Player of the Week Award Announcement, Week no. 33",0,0
102,"2034-8-21",104,0,0,"Player of the Week Award Announcement, Week no. 34",0,0
102,"2034-8-28",104,0,0,"Player of the Week Award Announcement, Week no. 35",0,0
102,"2034-9-1",101,0,0,"Batter of the Month Award Announcement",0,0
102,"2034-9-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
102,"2034-9-4",104,0,0,"Player of the Week Award Announcement, Week no. 36",0,0
102,"2034-9-11",104,0,0,"Player of the Week Award Announcement, Week no. 37",0,0
102,"2034-9-11",13,0,0,"Regular Season Ends",0,0
102,"2034-10-10",16,0,0,"Offseason starts",0,0
102,"2034-10-18",25,0,0,"Great Glove Award announced",0,0
102,"2034-10-19",32,0,0,"Reliever of the Year Award announced",0,0
102,"2034-10-20",31,0,0,"Platinum Stick Award announced",0,0
103,"2034-4-11",12,0,0,"OPENING DAY",0,0
103,"2034-4-17",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
103,"2034-4-24",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
103,"2034-5-1",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
103,"2034-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
103,"2034-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
103,"2034-5-8",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
103,"2034-5-15",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
103,"2034-5-22",104,0,0,"Player of the Week Award Announcement, Week no. 21",0,0
103,"2034-5-29",104,0,0,"Player of the Week Award Announcement, Week no. 22",0,0
103,"2034-6-1",101,0,0,"Batter of the Month Award Announcement",0,0
103,"2034-6-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
103,"2034-6-5",104,0,0,"Player of the Week Award Announcement, Week no. 23",0,0
103,"2034-6-12",104,0,0,"Player of the Week Award Announcement, Week no. 24",0,0
103,"2034-6-19",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
103,"2034-6-26",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
103,"2034-7-1",101,0,0,"Batter of the Month Award Announcement",0,0
103,"2034-7-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
103,"2034-7-3",104,0,0,"Player of the Week Award Announcement, Week no. 27",0,0
103,"2034-7-10",104,0,0,"Player of the Week Award Announcement, Week no. 28",0,0
103,"2034-7-17",104,0,0,"Player of the Week Award Announcement, Week no. 29",0,0
103,"2034-7-24",104,0,0,"Player of the Week Award Announcement, Week no. 30",0,0
103,"2034-7-31",104,0,0,"Player of the Week Award Announcement, Week no. 31",0,0
103,"2034-8-1",101,0,0,"Batter of the Month Award Announcement",0,0
103,"2034-8-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
103,"2034-8-7",104,0,0,"Player of the Week Award Announcement, Week no. 32",0,0
103,"2034-8-14",104,0,0,"Player of the Week Award Announcement, Week no. 33",0,0
103,"2034-8-21",104,0,0,"Player of the Week Award Announcement, Week no. 34",0,0
103,"2034-8-28",104,0,0,"Player of the Week Award Announcement, Week no. 35",0,0
103,"2034-9-1",101,0,0,"Batter of the Month Award Announcement",0,0
103,"2034-9-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
103,"2034-9-4",104,0,0,"Player of the Week Award Announcement, Week no. 36",0,0
