year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
2018,5,2426,100,1,0,96020,83669,21741,18342,34244,14452,4439,486,2364,937,309,11108,11597,9743,508,1036,999,564,9,2315,2430,21866,7289,0,0.2598,0.3423,0.4093,11899.2563,4.8594,0.1494,0.3329,0.7516,75.2006,0.0000,19.1023,10.1468,49.6384,0.3050
2018,23,2418,100,1,0,95509,83764,21465,18723,33455,14522,4203,433,2307,972,380,10612,11077,9194,539,1062,897,575,17,2170,2432,21888,6943,0,0.2563,0.3353,0.3994,11379.8731,4.6329,0.1431,0.3258,0.7347,71.8935,0.0000,19.6034,9.6263,29.7036,0.3026
2019,5,2426,100,1,0,95622,84177,22322,17663,35141,14907,4475,476,2464,941,267,11284,11741,9030,546,1013,827,563,12,2248,2430,21870,7415,0,0.2652,0.3415,0.4175,12120.5611,4.9765,0.1523,0.3338,0.7589,77.8974,0.0000,18.4717,9.4434,79.2486,0.3073
2019,23,2418,100,1,0,94615,83368,21439,18214,32875,14666,4196,491,2086,1205,378,10367,10822,8741,509,1084,880,529,13,2183,2430,21870,6773,0,0.2572,0.3336,0.3943,11121.8557,4.5568,0.1372,0.3220,0.7279,76.1213,0.0000,19.2506,9.2385,2.1992,0.3043
2020,5,2420,100,1,0,95996,84672,22439,18050,35102,15065,4498,463,2413,1001,321,11027,11487,8850,558,1064,886,512,12,2139,2430,21870,7374,0,0.2650,0.3402,0.4146,12078.1747,4.9343,0.1496,0.3323,0.7548,75.7186,0.0000,18.8029,9.2191,61.8208,0.3094
2020,23,2421,100,1,0,95062,83679,21453,18584,32923,14695,4173,458,2127,1210,377,10395,10823,8796,479,1142,914,521,10,2147,2432,21888,6758,0,0.2564,0.3335,0.3934,11163.2126,4.5540,0.1371,0.3221,0.7269,76.2445,0.0000,19.5493,9.2529,-3.6671,0.3044
2021,5,2420,100,1,0,95553,84204,22221,18164,34291,15101,4419,452,2249,1144,352,10867,11308,8766,526,1092,927,550,14,2165,2430,21870,7120,0,0.2639,0.3391,0.4072,11782.9165,4.8220,0.1433,0.3291,0.7463,76.4706,0.0000,19.0093,9.1740,40.1545,0.3104
2021,23,14467,100,1,0,94701,83466,21555,18346,33520,14543,4278,515,2219,1207,413,10672,11139,8656,531,1175,894,495,15,2122,2432,21888,7012,0,0.2582,0.3346,0.4016,11361.6985,4.6596,0.1434,0.3250,0.7362,74.5062,0.0000,19.3726,9.1403,28.4173,0.3050
2022,5,2420,100,1,0,94908,83704,21907,18255,34126,14775,4349,479,2304,1176,361,10775,11239,8648,565,1057,921,560,18,2151,2432,21888,7132,0,0.2617,0.3364,0.4077,11617.9320,4.7680,0.1460,0.3262,0.7441,76.5127,0.0000,19.2344,9.1120,40.8179,0.3077
2022,23,2421,100,1,0,94232,83622,21617,18101,33200,14785,4219,475,2138,1336,430,10344,10753,8049,590,1114,898,533,16,2001,2430,21870,6832,0,0.2585,0.3298,0.3970,11093.2944,4.5473,0.1385,0.3190,0.7269,75.6512,0.0000,19.2090,8.5417,-1.5988,0.3048
