year,team_id,league_id,sub_league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera,zr,plays,plays_base,roe,eff,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5
2018,5,100,0,1,0,0,2430,21866,91355,24510,65341,1504,2406,0,170,1227,319,0,196333,1,0.9835,4.1188,0.2600,0.0000,-407.9292,41583,41065,1231,0.9826,31524,29176,7959,5794,4824,2358,3685,1131,3088,367,8305,0
2018,23,100,1,1,0,0,2432,21888,91621,24504,65528,1589,2361,0,176,1317,370,0,196848,0,0.9827,4.1163,0.2809,0.0000,-432.8832,41306,40849,1277,0.9799,31351,28985,7904,5739,4691,2288,3673,1187,3136,381,8241,0
2019,5,100,0,1,0,0,2430,21870,91021,24414,65093,1514,2391,1,175,1222,286,0,195576,0,0.9834,4.1189,0.2340,0.0000,-411.2448,41719,41321,1213,0.9803,31923,29595,8054,5801,4804,2407,3690,1165,3353,416,8583,0
2019,23,100,1,1,0,0,2430,21870,91300,24624,65092,1584,2330,1,179,1483,359,0,195579,0,0.9827,4.1285,0.2421,0.0000,-388.3152,41510,40984,1229,0.9828,31559,29215,7915,5763,4793,2334,3709,1183,3097,378,8381,0
2020,5,100,0,1,0,0,2430,21870,91195,24392,65363,1440,2327,0,188,1342,336,0,196425,0,0.9842,4.1125,0.2504,0.0000,-512.1864,41845,41547,1159,0.9793,32133,29780,8104,5789,4896,2295,3719,1123,3251,386,8580,0
2020,23,100,1,1,0,0,2432,21888,91577,24572,65465,1540,2239,0,176,1480,362,0,196668,0,0.9832,4.1203,0.2446,0.0000,-378.8520,41393,40929,1240,0.9810,31667,29402,7849,5698,4699,2282,3614,1191,3177,395,8357,0
2021,5,100,0,1,0,0,2430,21870,91152,24376,65254,1522,2312,2,167,1450,364,0,196119,0,0.9833,4.1132,0.2510,0.0000,-527.7684,41428,41142,1198,0.9778,31839,29471,8024,5734,4809,2240,3723,1141,3231,403,8460,0
2021,23,100,1,1,0,0,2432,21888,91072,24533,65052,1487,2226,2,187,1564,401,0,195486,0,0.9837,4.1244,0.2564,0.0000,-309.3768,41340,40716,1165,0.9867,31593,29275,7901,5797,4863,2368,3653,1218,3157,365,8363,0
2022,5,100,0,1,0,0,2432,21888,90704,24194,65015,1495,2256,1,197,1516,383,0,195384,0,0.9835,4.1092,0.2526,0.0000,-586.8012,41378,41268,1179,0.9741,31799,29489,8113,5809,4856,2236,3586,1050,3227,383,8207,0
2022,23,100,1,1,0,0,2430,21870,91013,24393,65126,1494,2130,1,161,1665,408,0,195669,0,0.9836,4.1175,0.2450,0.0000,-369.9396,41621,41151,1159,0.9833,31872,29589,7986,5821,4745,2313,3676,1136,3128,382,8357,0
