year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
2018,5,2426,100,1,1,83650,21812,96038,34166,21716,18297,7767,9756,11546,10647,23187,20845,358188,0,2430,2429,1212,1218,653,14469,4406,1003,578,479,2362,84,11,519,775,1040,2379,2272,1093,981,310,7433,3357,1024,51,123,908,319,1074,13.4150,0.2596,0.3421,0.4084,0.7506,8.9604,7.5497,0.9746,4.0255,0.0210,0.0000,0.4500,0.4988,3.1976,0.6781,0.3160,30.5034,0.3201,4.3931,147.4025,0.0000,1.4429,0.5266,1.8755,0.3045,-80.3553,''
2018,23,2418,100,1,1,83772,21872,95477,33532,21489,18768,7670,9179,11124,10204,23190,20552,355821,0,2432,2432,1219,1213,674,14504,4236,893,561,440,2309,72,15,528,784,1057,2379,2213,1110,1026,333,7417,3404,1058,53,156,947,370,1024,13.0544,0.2565,0.3355,0.4003,0.7357,8.8424,7.7228,0.9501,3.7770,0.0218,0.0000,0.4564,0.5012,3.1538,0.6693,0.3246,31.0811,0.3207,4.1988,146.3080,0.0000,1.4022,0.5302,2.0447,0.3032,-52.8226,''
2019,5,2426,100,1,1,84161,21730,95502,34964,22266,17707,8115,8909,11615,10737,23155,21233,354012,2,2430,2430,1225,1205,661,14914,4443,815,571,472,2437,84,10,532,718,1036,2365,2246,1095,987,310,7418,3446,1134,65,126,936,286,1084,13.3405,0.2646,0.3402,0.4154,0.7557,9.2217,7.3336,1.0093,3.6898,0.0267,0.0000,0.4506,0.5041,3.3395,0.6807,0.3141,32.9077,0.3188,4.4468,145.6840,0.0000,1.4346,0.5216,1.9875,0.3070,-97.5168,''
2019,23,2418,100,1,1,83384,21731,94735,33052,21495,18170,7465,8862,10948,10068,23352,20594,351682,0,2430,2430,1205,1225,664,14659,4228,892,521,495,2113,68,15,523,763,1061,2364,2185,1128,964,280,7395,3407,1079,66,150,1124,359,1041,13.0119,0.2578,0.3348,0.3964,0.7312,8.9023,7.5252,0.8751,3.6702,0.0272,0.0000,0.4642,0.4959,3.0720,0.7034,0.2905,31.6701,0.3197,4.1697,144.7251,0.0000,1.3969,0.5314,2.0503,0.3046,-37.8261,''
2020,5,2420,100,1,1,84663,21825,96136,35167,22561,18008,7874,8938,11552,10662,23329,21070,356436,0,2430,2430,1204,1226,645,15214,4480,910,527,475,2392,76,13,557,716,1085,2386,2168,1169,1000,341,7262,3280,1030,44,128,1006,336,1013,13.4367,0.2665,0.3422,0.4154,0.7576,9.3035,7.4260,0.9864,3.6858,0.0181,0.0000,0.4811,0.4955,3.2403,0.6542,0.3410,31.4024,0.3286,4.3967,146.6815,0.0000,1.4433,0.5254,2.0148,0.3113,-97.9989,''
2020,23,2421,100,1,1,83688,21852,94922,32858,21331,18626,7461,8708,10758,9869,23361,20564,353096,0,2432,2432,1227,1205,691,14546,4191,890,506,446,2148,69,9,480,695,1121,2370,2118,1146,1019,306,7431,3401,980,62,159,1118,362,1067,12.8336,0.2549,0.3314,0.3926,0.7240,8.7854,7.6713,0.8847,3.5865,0.0255,0.0000,0.4712,0.5045,3.0678,0.6931,0.3003,28.8151,0.3189,4.0647,145.1875,0.0000,1.3747,0.5318,2.1390,0.3025,-10.2351,''
2021,5,2420,100,1,1,84147,21791,95596,34163,22153,18232,7748,8836,11264,10331,23130,20940,355250,0,2430,2430,1223,1207,681,15060,4400,920,546,469,2224,79,14,528,679,1133,2366,2176,1112,997,304,7110,3139,1016,64,125,1086,364,987,13.2669,0.2633,0.3393,0.4060,0.7453,9.1495,7.5301,0.9185,3.6494,0.0263,0.0000,0.4576,0.5033,3.1885,0.6914,0.3049,32.3670,0.3328,4.2669,146.1934,0.0000,1.4221,0.5248,2.0634,0.3102,-54.9662,''
2021,23,14467,100,1,1,83523,21720,94658,33648,21623,18278,7625,8586,11183,10352,23388,20511,351929,2,2432,2432,1208,1224,641,14584,4297,901,499,498,2244,92,15,529,766,1134,2379,2111,1098,944,287,7259,3178,994,53,136,1163,401,1041,12.9870,0.2589,0.3344,0.4029,0.7372,8.9595,7.5735,0.9298,3.5576,0.0218,0.0000,0.4515,0.4967,3.1353,0.6907,0.3040,31.2775,0.3277,4.2894,144.7076,0.0000,1.3908,0.5328,2.1288,0.3052,-61.8874,''
2022,5,2420,100,1,1,83727,21709,94944,34084,21953,18189,7759,8644,11197,10270,23022,20930,353561,1,2432,2432,1221,1211,625,14841,4364,928,570,477,2271,86,17,587,715,1058,2382,2134,1135,935,293,7145,3315,1006,50,147,1133,383,1049,13.1232,0.2622,0.3368,0.4071,0.7438,9.1010,7.5406,0.9415,3.5835,0.0206,0.0000,0.4667,0.5021,3.1904,0.6808,0.3134,30.3469,0.3334,4.2576,145.3787,0.0000,1.4094,0.5238,2.1042,0.3083,-62.5720,''
2022,23,2421,100,1,1,83599,21741,94196,33242,21571,18167,7240,8053,10795,9981,23415,20743,348195,0,2430,2430,1210,1220,635,14719,4204,891,523,477,2171,88,17,568,678,1113,2377,2018,1163,944,292,7207,3257,1012,53,155,1257,408,999,12.7240,0.2580,0.3295,0.3976,0.7271,8.9296,7.5205,0.8987,3.3337,0.0218,0.0000,0.4786,0.4979,2.9794,0.6850,0.3093,31.0715,0.3298,4.1318,143.2901,0.0000,1.3626,0.5303,2.2559,0.3042,-28.7694,''
