league_id,team_id0,team_id1,winner,finished,best_of,played,round,result0,result1
100,0,9,9,1,1,0,0,0,1
100,14,7,7,1,1,1,0,0,1
100,0,5,5,1,1,0,0,0,1
100,0,15,15,1,1,0,0,0,1
100,0,23,23,1,1,0,0,0,1
100,19,20,19,1,1,1,0,1,0
100,0,28,28,1,1,0,0,0,1
100,0,22,22,1,1,0,0,0,1
100,9,7,9,1,5,5,1,3,2
100,5,15,15,1,5,5,1,2,3
100,23,19,23,1,5,3,1,3,0
100,28,22,28,1,5,4,1,3,1
100,9,15,9,1,7,6,2,4,2
100,23,28,23,1,7,5,2,4,1
100,9,23,23,1,7,5,3,1,4
101,0,38,38,1,1,0,0,0,1
101,36,34,36,1,1,1,0,1,0
101,0,41,41,1,1,0,0,0,1
101,0,33,33,1,1,0,0,0,1
101,0,56,56,1,1,0,0,0,1
101,48,54,48,1,1,1,0,1,0
101,0,59,59,1,1,0,0,0,1
101,0,47,47,1,1,0,0,0,1
101,38,36,38,1,5,4,1,3,1
101,41,33,41,1,5,3,1,3,0
101,56,48,56,1,5,5,1,3,2
101,59,47,59,1,5,5,1,3,2
101,38,41,41,1,7,6,2,2,4
101,56,59,59,1,7,6,2,2,4
101,41,59,41,1,7,5,3,4,1
102,0,64,64,1,1,0,0,0,1
102,65,69,69,1,1,1,0,0,1
102,0,75,75,1,1,0,0,0,1
102,0,73,73,1,1,0,0,0,1
102,0,83,83,1,1,0,0,0,1
102,85,79,79,1,1,1,0,0,1
102,0,88,88,1,1,0,0,0,1
102,0,86,86,1,1,0,0,0,1
102,64,69,64,1,5,4,1,3,1
102,75,73,73,1,5,3,1,0,3
102,83,79,79,1,5,4,1,1,3
102,88,86,86,1,5,4,1,1,3
102,64,73,73,1,7,5,2,1,4
102,79,86,86,1,7,6,2,2,4
102,73,86,86,1,7,6,3,2,4
103,0,97,97,1,1,0,0,0,1
103,103,99,103,1,1,1,0,1,0
103,0,91,91,1,1,0,0,0,1
103,0,93,93,1,1,0,0,0,1
103,0,117,117,1,1,0,0,0,1
103,115,119,119,1,1,1,0,0,1
103,0,120,120,1,1,0,0,0,1
103,0,110,110,1,1,0,0,0,1
103,97,103,97,1,5,4,1,3,1
103,91,93,93,1,5,3,1,0,3
103,117,119,119,1,5,5,1,2,3
103,120,110,120,1,5,4,1,3,1
103,97,93,97,1,7,6,2,4,2
103,119,120,120,1,7,4,2,0,4
103,97,120,120,1,7,7,3,3,4
104,0,129,129,1,1,0,0,0,1
104,127,121,121,1,1,1,0,0,1
104,0,131,131,1,1,0,0,0,1
104,0,132,132,1,1,0,0,0,1
104,0,146,146,1,1,0,0,0,1
104,147,144,147,1,1,1,0,1,0
104,0,143,143,1,1,0,0,0,1
104,0,148,148,1,1,0,0,0,1
104,129,121,129,1,5,3,1,3,0
104,131,132,132,1,5,3,1,0,3
104,146,147,147,1,5,3,1,0,3
104,143,148,148,1,5,4,1,1,3
104,129,132,129,1,7,7,2,4,3
104,147,148,147,1,7,7,2,4,3
104,129,147,147,1,7,7,3,3,4
105,0,154,154,1,1,0,0,0,1
105,162,159,162,1,1,1,0,1,0
105,0,164,164,1,1,0,0,0,1
105,0,163,163,1,1,0,0,0,1
105,0,166,166,1,1,0,0,0,1
105,172,179,172,1,1,1,0,1,0
105,0,176,176,1,1,0,0,0,1
105,0,169,169,1,1,0,0,0,1
105,154,162,154,1,5,5,1,3,2
105,164,163,164,1,5,4,1,3,1
105,166,172,172,1,5,5,1,2,3
105,176,169,176,1,5,5,1,3,2
105,154,164,154,1,7,6,2,4,2
105,172,176,176,1,7,6,2,2,4
105,154,176,154,1,7,6,3,4,2
106,193,219,193,1,7,6,0,4,2
106,213,221,221,1,7,4,0,0,4
106,242,249,249,1,7,4,0,0,4
106,230,241,230,1,7,5,0,4,1
106,193,221,221,1,7,5,1,1,4
106,249,230,230,1,7,7,1,3,4
106,221,230,221,1,7,7,2,4,3
107,274,288,288,1,7,7,0,3,4
107,260,281,281,1,7,7,0,3,4
107,316,311,316,1,7,4,0,4,0
107,291,309,309,1,7,5,0,1,4
107,288,281,288,1,7,5,1,4,1
107,316,309,309,1,7,4,1,0,4
107,288,309,309,1,7,7,2,3,4
108,330,333,333,1,7,5,0,1,4
108,323,331,331,1,7,5,0,1,4
108,346,342,342,1,7,5,0,1,4
108,337,335,335,1,7,5,0,1,4
108,333,331,333,1,7,7,1,4,3
108,342,335,342,1,7,4,1,4,0
108,333,342,333,1,7,5,2,4,1
