message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
1,"Omaha Wins Lottery for RP Booker",9956,0,0,0,0,10,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-1",0,1,-1,0
2,"$27,000,000 Lands 2B Ostrom for Rangers",12687,0,0,0,0,10,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-1",0,1,-1,0
3,"BNN Stats: Starting Pitching Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
4,"BNN Stats: Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
5,"BNN Stats: Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,102,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
6,"BNN Stats: Active Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,103,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
7,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,104,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
8,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,105,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
9,"BNN Stats: Size Matters",0,0,0,0,0,0,0,0,0,0,106,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
10,"BNN Stats: Active Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,107,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
11,"BNN Stats: Batting Leaders at Catcher",0,0,0,0,0,0,0,0,0,0,108,0,3,0,1,5,0,0,0,"2034-1-2",0,1,-1,0
12,"Sanchez Honored by First Ballot Selection to FBL Hall of Fame",878,0,0,0,0,30,0,0,0,0,100,0,3,5,3,5,100,0,0,"2034-1-4",0,1,-1,0
13,"Hall of Fame Voting Results",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2034-1-4",0,1,-1,0
14,"$82,400,000 Lands SP Troutwine for Underdogs",14855,0,0,0,0,11,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-6",0,1,-1,0
15,"Lillie Conducts Talent Search in Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236,1,0,"2034-1-8",0,1,-1,0
16,"BNN Stats: Active Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
17,"BNN Stats: Honestly, It's Just Muscles",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
18,"BNN Stats: Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,102,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
19,"BNN Stats: Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,103,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
20,"BNN Stats: Honestly, It's Just Muscles",0,0,0,0,0,0,0,0,0,0,104,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
21,"BNN Stats: Batting Leaders",0,0,0,0,0,0,0,0,0,0,105,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
22,"BNN Stats: Active Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,106,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
23,"BNN Stats: Batting Leaders",0,0,0,0,0,0,0,0,0,0,107,0,3,0,1,5,0,0,0,"2034-1-9",0,1,-1,0
24,"Veteran SS France Settles on Yaks",1233,0,0,0,0,8,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-10",0,1,-1,0
25,"$30,900,000 Lands SP Lesley for Cowboys",10648,0,0,0,0,20,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-12",0,1,-1,0
26,"Albinana Injured in Freak Off-Field Accident",25048,0,0,0,0,149,0,0,0,0,104,0,3,8,1,5,149,0,-5,"2034-1-13",0,1,-1,0
27,"BNN Stats: Rookie Batting Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
28,"BNN Stats: Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
29,"BNN Stats: Reliever Split Stats Leaders",0,0,0,0,0,0,0,0,0,0,103,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
30,"BNN Stats: Size Matters",0,0,0,0,0,0,0,0,0,0,104,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
31,"BNN Stats: Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,105,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
32,"BNN Stats: Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,106,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
33,"BNN Stats: Starting Pitching Rookie Leaders",0,0,0,0,0,0,0,0,0,0,107,0,3,0,1,5,0,0,0,"2034-1-16",0,1,-1,0
34,"Mesa, San Diego Trade Players ",11412,21841,0,0,0,25,8,0,0,0,100,0,3,1,3,5,25,0,0,"2034-1-16",0,1,-1,0
35,"Jacksonville Announces Deal for Veteran RP",1435,0,0,0,0,12,0,0,0,0,100,0,3,2,2,5,0,0,0,"2034-1-17",0,1,-1,0
36,"Underdogs, Badlanders Confirm Trade",15068,21125,19582,24608,0,11,16,0,0,0,100,0,3,1,3,5,11,0,0,"2034-1-18",0,1,-1,0
37,"Off-Field Accident Sidelines Mercier ",1689,0,0,0,0,171,0,0,0,0,105,0,3,8,1,5,171,0,-5,"2034-1-20",0,1,-1,0
38,"BNN Stats: Batting Leaders at Third Base",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
39,"BNN Stats: Honestly, It's Just Muscles",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
40,"BNN Stats: Batting Leaders",0,0,0,0,0,0,0,0,0,0,102,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
41,"BNN Stats: Batting Leaders",0,0,0,0,0,0,0,0,0,0,103,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
42,"BNN Stats: Active Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,104,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
43,"BNN Stats: Reliever Split Stats Leaders",0,0,0,0,0,0,0,0,0,0,105,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
44,"BNN Stats: Honestly, It's Just Muscles",0,0,0,0,0,0,0,0,0,0,107,0,3,0,1,5,0,0,0,"2034-1-23",0,1,-1,0
