park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
1,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9755,0.9950,0.9650,1.0320,1.1800,1.0220,1.0150,1.0350,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,352,384,421,381,345,321,10,10,10,10,10,10,10,"Privateers Ballpark","default_turf.jpg","default_turf.jpg",0,39600,1,0,1,0,"","",1
2,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0625,1.1600,1.0100,1.0080,1.0400,1.0465,0.9800,1.1700,52,55,62,69,76,81,84,83,79,70,61,54,3,3,3,3,3,3,3,3,3,3,3,3,8,5,341,364,401,428,379,345,327,18,18,14,14,7,7,7,"Hawks Ballpark","default_grass.jpg","default_grass.jpg",0,53400,0,0,0,0,"","",1
3,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0155,1.0350,1.0050,1.0820,1.1400,1.0820,1.0750,1.0950,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,352,384,420,372,345,319,9,9,9,9,9,9,9,"Horsemen Ballpark","default_turf.jpg","default_turf.jpg",0,44100,1,0,1,0,"","",1
4,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9802,1.0550,0.9400,0.8920,0.8900,1.0267,0.9900,1.0950,40,45,54,62,71,79,83,81,75,64,52,43,3,3,4,3,3,3,3,3,3,3,3,3,9,1,329,361,389,424,369,339,318,18,18,10,10,10,7,7,"Black Knights Ballpark","default_grass.jpg","default_grass.jpg",0,48300,2,0,0,0,"","",1
5,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0635,1.0700,1.0600,1.0280,0.9700,1.0335,1.0300,1.0400,49,52,54,56,59,61,63,64,64,61,55,50,3,3,3,3,1,0,0,0,0,1,3,3,11,3,332,354,397,426,389,357,323,10,10,10,10,10,10,10,"Ballpark of San Francisco","default_grass.jpg","default_grass.jpg",0,43800,2,0,0,0,"","",1
6,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0122,1.1000,0.9650,1.1580,1.2700,1.0017,0.9650,1.0700,46,51,56,61,69,76,81,80,75,65,53,45,3,3,3,2,1,0,0,0,0,1,2,3,6,5,339,373,413,428,389,347,328,17,17,9,9,9,9,9,"Fresno Grounds","default_turf.jpg","default_turf.jpg",0,48300,0,0,1,0,"","",1
7,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0185,1.0250,1.0150,0.9120,0.9400,1.0950,1.0950,1.0950,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,4,326,348,376,422,375,342,318,10,10,10,10,10,10,10,"Dallas Grounds","default_grass.jpg","default_grass.jpg",0,34800,2,0,0,0,"","",1
8,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9985,1.0050,0.9950,1.1840,1.3700,0.9110,0.9250,0.8850,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,376,425,431,413,365,328,10,10,10,16,10,10,10,"San Diego Grounds","default_turf.jpg","default_turf.jpg",0,44100,1,0,1,0,"","",1
9,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9735,1.0450,0.9350,1.0640,1.1400,0.9130,0.8850,0.9650,29,33,40,48,57,68,73,72,62,51,38,30,2,3,3,3,3,3,3,3,3,2,3,2,9,6,341,389,428,437,407,358,333,17,17,9,9,9,9,9,"Bucs Stadium","default_grass.jpg","default_grass.jpg",0,35100,2,0,0,0,"","",1
10,0,0,349,360,140,355,434,224,86,311,254,303,0,266,250,419,338,47,150,55,264,439,0,317,416,272,219,268,210,147,123,172,1.0235,1.0300,1.0200,1.0100,1.1000,1.0470,1.0400,1.0600,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,1,332,354,390,400,377,349,325,8,8,8,8,8,8,8,"Globe Life Park in Arlington","globe_life_park_in_arlington_d.webp","globe_life_park_in_arlington_n.webp",0,49115,0,0,0,0,"./globe_life_park_in_arlington/","globe_life_park_in_arlington.pod",1
