player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
1,0,0,1,11,30,122,10,9,64,6,1,13,11,0,200,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
2,0,0,3,0,2,32,22,28,70,8,9,3,54,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,1,11,14,75,14,1,94,9,1,11,32,0,200,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
4,0,0,1,11,18,173,44,42,41,4,1,31,44,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
5,0,0,1,12,30,107,30,113,43,6,1,53,41,0,200,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
6,0,0,1,11,32,75,10,35,27,9,7,22,31,0,200,0,13,0,0,0,0,0,0,68,0,3,0,0,0,0,0,0
7,0,0,1,12,1,92,17,1,102,6,1,27,52,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,1,12,31,102,6,23,57,4,1,60,71,0,200,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
9,0,0,1,12,27,167,9,10,41,1,2,7,44,0,200,0,3,0,0,0,0,0,0,74,0,1,0,0,0,0,0,0
10,0,0,1,12,34,127,15,45,43,2,1,44,14,0,200,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
11,0,0,1,12,38,79,6,62,72,9,2,47,47,0,200,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
12,0,0,3,0,31,100,25,1,61,3,1,26,17,0,171,0,200,0,0,0,0,0,0,66,0,68,0,0,0,0,0,0
13,0,0,2,0,8,43,68,1,49,87,124,39,15,0,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
14,0,0,2,0,33,56,21,32,47,1,21,75,85,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
