player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
363,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,2,16,321,494,3012,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
452,0,0,1,11,0,0,1,1,0,0,0,0,0,0,0,13,14,16,2302,2408,3179,182,188,186,66,4,0,0,0,0,0,0,0,0,1,0,0,0,0
457,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,12,13,16,2208,2385,3140,186,186,186,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
497,13,100,1,11,0,0,1,1,0,0,0,0,0,0,0,16,16,18,2880,2880,3179,186,186,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
549,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1845,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,6,7,16,1150,1204,3175,0,0,186,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
770,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,8,8,16,1399,1472,2810,0,0,102,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
771,26,100,1,12,0,0,1,1,0,0,0,0,0,0,0,0,3,10,123,516,2203,28,186,186,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0
804,56,101,1,11,0,0,0,0,0,0,0,0,0,0,0,4,6,15,753,1106,3123,57,57,186,0,0,0,0,1,66,0,7,0,0,3,0,0,0,0
815,0,0,1,11,0,0,1,1,0,0,0,0,0,0,0,18,18,18,3129,3107,3179,185,188,186,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,14,14,16,2544,2549,3097,183,183,186,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0
961,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,12,13,16,2207,2314,3071,78,78,78,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
1036,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1232,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,169,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,650,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,8,100,1,13,0,0,1,1,0,0,0,0,0,0,0,12,13,16,2087,2330,3179,186,191,186,33,5,0,0,0,0,0,0,0,0,3,0,0,0,0
1276,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,1530,1530,2934,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,15,15,16,2580,2580,3179,186,195,186,86,5,0,0,0,0,0,0,0,0,1,0,0,0,0
