team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
1,2034,100,1,0,6163,5517,1369,1362,0,0,301,24,180,92,31,669,688,510,39,49,51,36,0,129,162,1458,505,0,0.2481,0.3154,0.4093,713.2473,4.3817,0.1611,0.0000,0.7247,74.7967,0.0000
2,2034,100,1,0,6228,5475,1407,1426,0,0,261,18,202,81,43,699,730,612,25,57,48,36,0,145,162,1458,481,0,0.2570,0.3359,0.4219,777.0387,4.8341,0.1649,0.0000,0.7578,65.3226,0.0000
3,2034,100,1,0,6156,5622,1467,1206,0,0,308,33,206,139,33,724,756,372,20,66,51,45,0,132,162,1458,547,0,0.2609,0.3120,0.4374,760.2975,4.6486,0.1764,0.0000,0.7494,80.8140,0.0000
4,2034,100,1,0,6246,5530,1399,1271,0,0,281,23,231,101,35,736,764,553,30,59,57,45,2,122,162,1458,535,0,0.2530,0.3250,0.4374,794.5358,4.8867,0.1844,0.0000,0.7625,74.2647,0.0000
5,2034,100,1,0,6302,5409,1392,1352,0,0,270,28,199,106,63,782,820,707,37,84,54,48,0,135,162,1458,497,0,0.2573,0.3494,0.4280,824.9940,5.1598,0.1706,0.0000,0.7774,62.7219,0.0000
6,2034,100,1,0,6145,5512,1349,1336,0,0,333,16,164,39,9,592,608,471,33,74,47,41,0,160,162,1458,513,0,0.2447,0.3106,0.4002,675.1670,4.1243,0.1555,0.0000,0.7108,81.2500,0.0000
7,2034,100,1,0,6224,5443,1320,1538,0,0,250,29,266,87,21,778,811,635,30,55,51,35,5,126,162,1458,545,0,0.2425,0.3259,0.4457,805.1012,4.9903,0.2032,0.0000,0.7716,80.5556,0.0000
8,2034,100,1,0,6214,5495,1324,1571,0,0,342,15,224,37,20,689,718,560,27,78,44,36,1,120,162,1458,581,0,0.2409,0.3180,0.4309,758.8587,4.6662,0.1900,0.0000,0.7490,64.9123,0.0000
9,2034,100,1,0,6238,5536,1416,1228,0,0,279,23,204,138,29,752,787,518,21,85,50,48,1,133,162,1458,506,0,0.2558,0.3263,0.4250,782.1730,4.8216,0.1693,0.0000,0.7514,82.6347,0.0000
10,2034,100,1,0,6326,5732,1551,1156,0,0,316,23,208,47,22,761,796,445,21,68,44,37,0,150,162,1458,547,0,0.2706,0.3286,0.4426,816.9396,4.9746,0.1720,0.0000,0.7712,68.1159,0.0000
11,2034,100,1,0,6203,5554,1436,1307,0,0,343,36,187,49,16,725,745,450,23,102,43,52,2,159,162,1458,566,0,0.2586,0.3228,0.4343,767.3074,4.7214,0.1757,0.0000,0.7571,75.3846,0.0000
12,2034,100,1,0,6176,5547,1416,1373,0,0,299,27,202,60,22,733,760,483,26,48,63,35,0,124,162,1458,528,0,0.2553,0.3185,0.4282,754.8278,4.6584,0.1729,0.0000,0.7467,73.1707,0.0000
13,2034,100,1,0,6192,5466,1342,1594,0,0,272,30,205,75,41,704,732,562,41,84,33,47,0,114,162,1458,507,0,0.2455,0.3228,0.4188,748.0310,4.6334,0.1733,0.0000,0.7416,64.6552,0.0000
14,2034,100,1,0,6209,5522,1350,1433,0,0,259,34,238,66,19,732,759,527,19,84,42,34,0,118,162,1458,531,0,0.2445,0.3180,0.4330,769.3056,4.7369,0.1885,0.0000,0.7510,77.6471,0.0000
15,2034,100,1,0,6120,5396,1260,1353,0,0,243,26,229,55,22,701,721,578,25,54,47,44,1,119,162,1458,498,0,0.2335,0.3116,0.4155,708.4525,4.3792,0.1820,0.0000,0.7271,71.4286,0.0000
16,2034,100,1,0,6117,5502,1412,1130,0,0,284,25,156,93,35,690,720,459,44,68,48,38,2,131,162,1458,465,0,0.2566,0.3196,0.4024,705.3322,4.3860,0.1458,0.0000,0.7220,72.6563,0.0000
17,2034,100,1,0,6199,5502,1374,1370,0,0,236,28,211,104,42,689,713,556,49,54,50,37,0,128,162,1458,475,0,0.2497,0.3227,0.4178,744.4979,4.5841,0.1681,0.0000,0.7405,71.2329,0.0000
18,2034,100,1,0,6081,5496,1345,1397,0,0,254,28,156,94,46,616,644,454,33,54,39,36,2,125,162,1458,438,0,0.2447,0.3068,0.3863,645.9002,3.9662,0.1416,0.0000,0.6931,67.1429,0.0000
19,2034,100,1,0,6206,5486,1399,1338,0,0,297,21,176,83,40,662,687,570,53,51,59,40,0,145,162,1458,494,0,0.2550,0.3286,0.4131,741.6641,4.5813,0.1580,0.0000,0.7417,67.4797,0.0000
20,2034,100,1,0,6324,5617,1467,1343,0,0,301,16,193,61,16,733,765,544,36,55,67,41,0,119,162,1458,510,0,0.2612,0.3302,0.4235,797.9451,4.9043,0.1624,0.0000,0.7537,79.2208,0.0000
21,2034,100,1,0,6139,5530,1417,1196,0,0,282,27,215,106,43,706,727,473,28,45,57,34,0,103,162,1458,524,0,0.2562,0.3182,0.4336,765.7934,4.7532,0.1774,0.0000,0.7518,71.1409,0.0000
22,2034,100,1,0,6185,5568,1453,1285,0,0,269,32,241,103,33,757,779,476,30,46,44,50,1,120,162,1458,542,0,0.2610,0.3217,0.4506,807.1012,4.9958,0.1897,0.0000,0.7723,75.7353,0.0000
23,2034,100,1,0,6375,5580,1438,1388,0,0,306,20,249,105,35,842,873,645,40,71,50,28,1,120,162,1458,575,0,0.2577,0.3406,0.4536,878.7320,5.4230,0.1959,0.0000,0.7942,75.0000,0.0000
24,2034,100,1,0,6182,5545,1374,1391,0,0,278,25,227,82,28,706,722,504,46,50,50,32,1,106,162,1458,530,0,0.2478,0.3145,0.4298,754.7397,4.6451,0.1820,0.0000,0.7442,74.5455,0.0000
25,2034,100,1,0,6175,5576,1418,1407,0,0,282,25,191,89,34,713,742,462,39,53,50,33,1,126,162,1458,498,0,0.2543,0.3156,0.4166,728.3257,4.4683,0.1623,0.0000,0.7323,72.3577,0.0000
26,2034,100,1,0,6290,5584,1354,1359,0,0,308,23,179,63,11,672,705,537,42,72,50,47,0,126,162,1458,510,0,0.2425,0.3146,0.4020,718.6776,4.3468,0.1596,0.0000,0.7166,85.1351,0.0000
27,2034,100,1,0,6102,5477,1348,1371,0,0,286,23,185,94,35,648,672,475,29,57,53,39,1,108,162,1458,494,0,0.2461,0.3108,0.4081,701.0920,4.3376,0.1619,0.0000,0.7189,72.8682,0.0000
