team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2034,100,1,1,1948,502,2219,843,507,448,0,219,284,262,488,490,8265,2,431,0,25,33,47,318,112,5,13,7,70,1,0,20,23,34,158,59,0,68,21,431,0,0,23,9,61,13.6074,0.2603,0.3433,0.4328,0.7760,9.0776,8.0212,1.2533,3.9211,0.0000,0.0000,0.0000,0.4310,0.0000,0.6912,0.3088,0.3666,4.6910,19.1763,0.0000,1.4443,0.4990,2.0457,0.3028
2,2034,100,1,1,2258,599,2552,881,527,632,0,250,262,250,521,568,9753,1,597,0,37,27,47,344,95,6,15,5,83,5,0,24,34,23,162,53,0,62,15,597,0,0,37,11,94,12.0133,0.2334,0.3142,0.3902,0.7044,7.9138,9.4905,1.2464,3.7542,0.0000,0.0000,0.0000,0.5781,0.0000,0.7581,0.2419,0.2714,3.7542,16.3367,0.0000,1.2964,0.4784,2.5280,0.2850
3,2034,100,1,1,2176,583,2480,880,513,605,0,239,250,237,514,553,9362,0,510,0,39,24,43,320,102,17,15,8,83,2,1,40,34,32,155,56,0,65,22,510,0,0,27,10,64,12.1029,0.2358,0.3184,0.4044,0.7229,7.9194,9.3396,1.2813,3.6895,0.0000,0.0000,0.0000,0.6190,0.0000,0.6615,0.3385,0.3039,3.6587,18.3569,0.0000,1.2899,0.4817,2.5314,0.2861
4,2034,100,1,1,2043,537,2333,886,505,579,0,228,281,265,489,489,8960,2,452,0,28,32,45,316,88,11,28,10,91,4,0,18,18,23,157,38,0,79,34,452,0,0,16,11,59,12.6547,0.2472,0.3256,0.4337,0.7593,8.4532,9.6919,1.5232,3.8165,0.0000,0.0000,0.0000,0.4667,0.0000,0.5696,0.4304,0.3473,4.4358,19.8230,0.0000,1.3633,0.5000,2.5395,0.2955
5,2034,100,1,1,1731,447,1926,734,426,504,0,158,226,206,392,403,7316,2,377,0,24,22,42,258,93,5,12,10,65,1,0,14,26,20,158,31,0,63,18,377,0,0,16,5,56,12.1430,0.2461,0.3144,0.4240,0.7385,8.5644,10.1325,1.3068,3.1765,0.0000,0.0000,0.0000,0.5217,0.0000,0.7000,0.2857,0.4191,4.1415,19.4058,0.0000,1.3045,0.4931,3.1899,0.3075
6,2034,100,1,1,2254,590,2590,956,562,622,0,268,315,291,513,568,9953,0,496,0,30,32,45,348,118,21,17,12,84,4,0,23,27,30,162,46,0,71,26,496,0,0,28,10,67,13.1186,0.2493,0.3348,0.4241,0.7589,8.5729,9.4881,1.2814,4.0881,0.0000,0.0000,0.0000,0.4839,0.0000,0.6338,0.3662,0.3266,4.4390,20.0665,0.0000,1.4068,0.4746,2.3209,0.3054
7,2034,100,1,1,1807,473,2053,832,477,421,0,184,265,256,448,470,7795,0,429,0,27,29,49,299,87,8,17,5,86,5,0,8,24,37,152,54,0,73,23,429,0,0,25,11,73,13.2812,0.2640,0.3413,0.4604,0.8018,9.0761,8.0106,1.6364,3.5011,0.0000,0.0000,0.0000,0.4821,0.0000,0.6806,0.3151,0.3543,4.8710,18.1702,0.0000,1.3975,0.4880,2.2880,0.2969
8,2034,100,1,1,1978,522,2229,726,484,555,0,209,217,198,463,471,8669,1,443,0,26,31,41,328,111,12,10,4,41,5,1,15,39,19,156,52,0,65,22,443,0,0,27,12,61,12.2680,0.2447,0.3213,0.3670,0.6883,8.3395,9.5629,0.7064,3.6011,0.0000,0.0000,0.0000,0.4561,0.0000,0.6508,0.3385,0.3521,3.4116,19.5688,0.0000,1.3267,0.4957,2.6555,0.3182
9,2034,100,1,1,1745,472,1938,664,391,544,0,161,175,165,424,387,7347,1,420,0,26,17,41,244,78,7,10,12,57,1,0,12,17,15,156,42,0,55,13,420,0,0,24,5,59,10.8038,0.2241,0.2936,0.3805,0.6741,7.4502,10.3656,1.0861,3.0677,0.0000,0.0000,0.0000,0.6047,0.0000,0.7593,0.2364,0.3714,3.1440,17.4929,0.0000,1.1687,0.5228,3.3789,0.2894
10,2034,100,1,1,2053,546,2331,849,484,570,0,220,263,251,521,495,8844,0,523,0,38,36,40,308,79,12,18,5,92,6,0,20,34,28,160,40,0,79,36,523,0,0,15,5,71,12.0659,0.2358,0.3157,0.4135,0.7292,7.9780,9.3956,1.5165,3.6264,0.0000,0.0000,0.0000,0.5135,0.0000,0.5263,0.4557,0.3059,4.1374,16.9101,0.0000,1.2894,0.5128,2.5909,0.2782
