team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,2034,100,1,0,0,162,1458,6031,1574,4355,102,160,1,17,95,30,0,13068,0,0.9831,4.0833,0.3158,0.0000
2,2034,100,1,0,0,162,1458,5836,1407,4329,100,125,0,13,133,30,0,12987,0,0.9829,3.9751,0.2256,0.0000
3,2034,100,1,0,0,162,1458,5995,1536,4378,81,149,0,12,92,30,0,13134,0,0.9865,4.0525,0.3261,0.0000
4,2034,100,1,0,0,162,1458,5848,1412,4361,75,134,0,12,102,31,0,13083,0,0.9872,3.9713,0.3039,0.0000
5,2034,100,1,0,0,162,1458,5729,1330,4295,104,110,0,13,91,21,0,12885,0,0.9818,3.9290,0.2308,0.0000
6,2034,100,1,0,0,162,1458,5901,1455,4351,95,148,0,19,122,30,0,13053,0,0.9839,4.0032,0.2459,0.0000
7,2034,100,1,0,0,162,1458,5890,1450,4349,91,151,0,10,99,27,0,13053,0,0.9846,3.9984,0.2727,0.0000
8,2034,100,1,0,0,162,1458,5946,1510,4333,103,159,0,15,120,33,0,13002,0,0.9827,4.0445,0.2750,0.0000
9,2034,100,1,0,0,162,1458,5824,1401,4363,60,122,0,8,82,20,0,13089,0,0.9897,3.9633,0.2439,0.0000
10,2034,100,1,0,0,162,1458,6003,1514,4413,76,122,0,11,91,24,0,13242,0,0.9873,4.0283,0.2637,0.0000
11,2034,100,1,0,0,162,1458,5851,1418,4346,87,142,0,16,123,28,0,13038,0,0.9851,3.9788,0.2276,0.0000
12,2034,100,1,0,0,162,1458,5887,1465,4343,79,122,0,10,112,41,0,13029,0,0.9866,4.0120,0.3661,0.0000
13,2034,100,1,0,0,162,1458,5810,1408,4310,92,149,0,14,94,30,0,12930,0,0.9842,3.9800,0.3191,0.0000
14,2034,100,1,0,0,162,1458,5850,1409,4371,70,126,0,9,114,30,0,13113,0,0.9880,3.9671,0.2632,0.0000
15,2034,100,1,0,0,162,1458,5947,1521,4344,82,146,0,18,89,26,0,13035,0,0.9862,4.0495,0.2921,0.0000
16,2034,100,1,0,0,162,1458,5790,1432,4278,80,138,0,18,108,25,0,12834,0,0.9862,4.0042,0.2315,0.0000
17,2034,100,1,0,0,162,1458,5938,1499,4349,90,151,0,13,113,32,0,13047,0,0.9848,4.0340,0.2832,0.0000
18,2034,100,1,0,0,162,1458,5901,1478,4329,94,138,0,14,101,31,0,12987,0,0.9841,4.0243,0.3069,0.0000
19,2034,100,1,0,0,162,1458,5998,1533,4362,103,149,0,6,112,43,0,13086,0,0.9828,4.0543,0.3839,0.0000
20,2034,100,1,0,0,162,1458,5926,1491,4374,61,130,0,15,109,25,0,13122,0,0.9897,4.0226,0.2294,0.0000
