team_id,year,league_id,sub_league_id,division_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,2018,100,0,2,1,0,0,162,1458,6110,1651,4356,103,173,0,14,73,15,0,13098,0,0.9831,4.1276,0.2055,0.0000
1,2019,100,0,2,1,0,0,162,1458,6150,1738,4314,98,173,0,14,71,16,0,12966,0,0.9841,4.2008,0.2254,0.0000
1,2020,100,0,2,1,0,0,162,1458,6126,1709,4318,99,156,0,11,76,15,0,12987,0,0.9838,4.1767,0.1974,0.0000
1,2021,100,0,2,1,0,0,162,1458,6118,1712,4283,123,173,0,14,88,20,0,12870,0,0.9799,4.1923,0.2273,0.0000
1,2022,100,0,2,1,0,0,162,1458,6102,1690,4311,101,163,0,11,73,18,0,12951,0,0.9834,4.1703,0.2466,0.0000
1,2023,100,0,2,1,0,0,162,1458,6098,1676,4316,106,149,0,8,102,25,0,12969,0,0.9826,4.1582,0.2451,0.0000
1,2024,100,0,2,1,0,0,162,1458,6137,1676,4355,106,140,0,9,134,35,0,13083,0,0.9827,4.1488,0.2612,0.0000
1,2025,100,0,2,1,0,0,162,1458,6226,1736,4374,116,145,0,10,118,35,0,13131,0,0.9814,4.1878,0.2966,0.0000
1,2026,100,0,2,1,0,0,162,1458,6147,1719,4315,113,146,0,15,109,24,0,12969,0,0.9816,4.1874,0.2202,0.0000
1,2027,100,0,2,1,0,0,162,1458,6169,1719,4358,92,168,0,14,134,34,0,13101,0,0.9851,4.1747,0.2537,0.0000
1,2028,100,0,2,1,0,0,162,1458,6073,1577,4389,107,133,0,11,104,29,0,13170,0,0.9824,4.0770,0.2788,0.0000
1,2029,100,0,2,1,0,0,162,1458,5997,1518,4414,65,121,0,14,97,34,0,13242,0,0.9892,4.0317,0.3505,0.0000
1,2030,100,0,2,1,0,0,162,1458,5846,1423,4325,98,104,0,11,103,20,0,12975,0,0.9832,3.9871,0.1942,0.0000
1,2031,100,0,2,1,0,0,162,1458,5900,1446,4355,99,129,0,15,110,22,0,13065,0,0.9832,3.9961,0.2000,0.0000
1,2032,100,0,2,1,0,0,163,1467,6035,1522,4406,107,127,0,19,140,35,0,13218,0,0.9823,4.0363,0.2500,0.0000
1,2033,100,0,2,1,0,0,162,1458,5990,1545,4364,81,166,0,19,123,26,0,13092,0,0.9865,4.0621,0.2114,0.0000
1,2034,100,0,2,1,0,0,162,1458,6031,1574,4355,102,160,1,17,95,30,0,13068,0,0.9831,4.0833,0.3158,0.0000
2,2018,100,0,0,1,0,0,162,1458,6100,1631,4369,100,147,0,17,88,21,0,13137,0,0.9836,4.1105,0.2386,0.0000
2,2019,100,0,0,1,0,0,162,1458,6140,1636,4402,102,163,0,11,72,14,0,13224,0,0.9834,4.1093,0.1944,0.0000
2,2020,100,0,0,1,0,0,162,1458,6069,1610,4371,88,148,0,8,80,19,0,13143,0,0.9855,4.0956,0.2375,0.0000
2,2021,100,0,0,1,0,0,162,1458,6103,1643,4353,107,149,0,14,128,35,0,13098,0,0.9825,4.1200,0.2734,0.0000
2,2022,100,0,0,1,0,0,162,1458,6017,1617,4309,91,148,0,14,104,21,0,12945,0,0.9849,4.1200,0.2019,0.0000
2,2023,100,0,0,1,0,0,162,1458,6122,1736,4296,90,178,0,10,111,24,0,12924,0,0.9853,4.2006,0.2162,0.0000
2,2024,100,0,0,1,0,0,162,1458,6139,1693,4364,82,158,0,17,118,33,0,13116,0,0.9866,4.1562,0.2797,0.0000
2,2025,100,0,0,1,0,0,162,1458,6160,1698,4375,87,162,0,4,98,20,0,13143,0,0.9859,4.1586,0.2041,0.0000
2,2026,100,0,0,1,0,0,162,1458,6265,1715,4460,90,179,0,8,78,19,0,13401,0,0.9856,4.1471,0.2436,0.0000
2,2027,100,0,0,1,0,0,162,1458,6100,1671,4336,93,172,0,9,98,29,0,13020,0,0.9848,4.1523,0.2959,0.0000
2,2028,100,0,0,1,0,0,162,1458,6068,1623,4359,86,150,0,29,108,28,0,13077,0,0.9858,4.1170,0.2593,0.0000
2,2029,100,0,0,1,0,0,162,1458,5955,1487,4394,74,123,0,9,123,35,0,13182,0,0.9876,4.0152,0.2846,0.0000
2,2030,100,0,0,1,0,0,162,1458,5829,1448,4296,85,127,0,18,129,27,0,12888,0,0.9854,4.0112,0.2093,0.0000
2,2031,100,0,0,1,0,0,162,1458,5957,1535,4332,90,158,0,11,123,34,0,12996,0,0.9849,4.0630,0.2764,0.0000
2,2032,100,0,0,1,0,0,162,1458,5893,1484,4337,72,141,1,5,159,41,0,13011,0,0.9878,4.0265,0.2579,0.0000
2,2033,100,0,0,1,0,0,162,1458,5965,1500,4361,104,120,0,12,134,43,0,13086,0,0.9826,4.0309,0.3209,0.0000
2,2034,100,0,0,1,0,0,162,1458,5836,1407,4329,100,125,0,13,133,30,0,12987,0,0.9829,3.9751,0.2256,0.0000
3,2018,100,0,2,1,0,0,162,1458,6015,1575,4337,103,140,0,13,82,18,0,13044,0,0.9829,4.0791,0.2195,0.0000
3,2019,100,0,2,1,0,0,162,1458,6064,1606,4356,102,176,1,9,92,18,0,13083,0,0.9832,4.1014,0.1957,0.0000
3,2020,100,0,2,1,0,0,162,1458,6049,1598,4362,89,144,0,10,93,25,0,13113,0,0.9853,4.0906,0.2688,0.0000
3,2021,100,0,2,1,0,0,162,1458,6030,1601,4328,101,128,0,12,93,33,0,12993,0,0.9833,4.1069,0.3548,0.0000
3,2022,100,0,2,1,0,0,162,1458,6011,1634,4290,87,149,0,14,109,28,0,12903,0,0.9855,4.1321,0.2569,0.0000
3,2023,100,0,2,1,0,0,162,1458,6130,1721,4294,115,155,0,14,134,39,0,12888,0,0.9812,4.2004,0.2910,0.0000
3,2024,100,0,2,1,0,0,162,1458,6220,1723,4409,88,144,1,15,102,28,0,13245,0,0.9859,4.1667,0.2745,0.0000
3,2025,100,0,2,1,0,0,162,1458,6094,1711,4295,88,152,0,10,104,33,0,12894,0,0.9856,4.1922,0.3173,0.0000
3,2026,100,0,2,1,0,0,162,1458,6140,1716,4321,103,171,0,3,80,17,0,12987,0,0.9832,4.1836,0.2125,0.0000
3,2027,100,0,2,1,0,0,162,1458,6351,1803,4445,103,149,0,13,102,30,0,13365,0,0.9838,4.2074,0.2941,0.0000
3,2028,100,0,2,1,0,0,162,1458,6106,1666,4374,66,145,0,10,112,31,0,13122,0,0.9892,4.1427,0.2768,0.0000
3,2029,100,0,2,1,0,0,162,1458,5990,1555,4358,77,142,0,15,105,31,0,13074,0,0.9871,4.0704,0.2952,0.0000
3,2030,100,0,2,1,0,0,162,1458,5882,1460,4320,102,114,0,7,96,26,0,12960,0,0.9827,4.0139,0.2708,0.0000
3,2031,100,0,2,1,0,0,162,1458,5916,1477,4341,98,152,0,20,133,37,0,13023,0,0.9834,4.0207,0.2782,0.0000
3,2032,100,0,2,1,0,0,162,1458,6009,1534,4385,90,139,0,8,104,37,0,13155,0,0.9850,4.0495,0.3558,0.0000
3,2033,100,0,2,1,0,0,162,1458,5986,1584,4334,68,153,0,8,133,41,0,13002,0,0.9886,4.0964,0.3083,0.0000
3,2034,100,0,2,1,0,0,162,1458,5995,1536,4378,81,149,0,12,92,30,0,13134,0,0.9865,4.0525,0.3261,0.0000
4,2018,100,0,0,1,0,0,162,1458,5992,1540,4373,79,141,0,12,82,25,0,13131,0,0.9868,4.0528,0.3049,0.0000
4,2019,100,0,0,1,0,0,162,1458,6017,1560,4363,94,144,0,13,64,19,0,13110,0,0.9844,4.0661,0.2969,0.0000
4,2020,100,0,0,1,0,0,162,1458,6003,1532,4364,107,108,0,12,89,27,0,13107,0,0.9822,4.0485,0.3034,0.0000
4,2021,100,0,0,1,0,0,162,1458,6060,1575,4385,100,155,0,9,75,20,0,13188,0,0.9835,4.0673,0.2667,0.0000
4,2022,100,0,0,1,0,0,162,1458,5962,1545,4315,102,138,1,11,109,29,0,12951,0,0.9829,4.0723,0.2661,0.0000
4,2023,100,0,0,1,0,0,162,1458,6044,1675,4263,106,159,0,17,160,33,0,12801,0,0.9825,4.1748,0.2062,0.0000
4,2024,100,0,0,1,0,0,162,1458,6036,1652,4285,99,139,0,18,117,25,0,12873,0,0.9836,4.1508,0.2137,0.0000
4,2025,100,0,0,1,0,0,162,1458,6152,1710,4344,98,160,0,12,93,22,0,13047,0,0.9841,4.1761,0.2366,0.0000
4,2026,100,0,0,1,0,0,162,1458,6127,1695,4329,103,161,0,11,105,39,0,12999,0,0.9832,4.1708,0.3714,0.0000
4,2027,100,0,0,1,0,0,163,1467,6101,1631,4381,89,146,0,8,144,45,0,13179,0,0.9854,4.1056,0.3125,0.0000
4,2028,100,0,0,1,0,0,162,1458,6008,1547,4372,89,128,0,7,119,37,0,13119,0,0.9852,4.0606,0.3109,0.0000
4,2029,100,0,0,1,0,0,162,1458,5850,1434,4328,88,117,0,12,93,32,0,12984,0,0.9850,3.9940,0.3441,0.0000
4,2030,100,0,0,1,0,0,162,1458,5811,1409,4334,68,113,0,14,114,31,0,13002,0,0.9883,3.9753,0.2719,0.0000
4,2031,100,0,0,1,0,0,162,1458,6025,1534,4419,72,158,0,9,133,31,0,13257,0,0.9880,4.0414,0.2331,0.0000
4,2032,100,0,0,1,0,0,162,1458,5928,1502,4348,78,126,0,8,113,40,0,13044,0,0.9868,4.0363,0.3540,0.0000
4,2033,100,0,0,1,0,0,162,1458,5915,1451,4352,112,117,0,15,101,23,0,13056,0,0.9811,4.0002,0.2277,0.0000
4,2034,100,0,0,1,0,0,162,1458,5848,1412,4361,75,134,0,12,102,31,0,13083,0,0.9872,3.9713,0.3039,0.0000
5,2018,100,0,2,1,0,0,162,1458,6186,1756,4343,87,219,0,13,77,16,0,13047,0,0.9859,4.2072,0.2078,0.0000
5,2019,100,0,2,1,0,0,162,1458,6099,1690,4305,104,164,0,7,67,22,0,12936,0,0.9829,4.1709,0.3284,0.0000
5,2020,100,0,2,1,0,0,162,1458,6159,1677,4398,84,192,0,17,61,16,0,13221,0,0.9864,4.1355,0.2623,0.0000
5,2021,100,0,2,1,0,0,162,1458,6131,1713,4331,87,146,0,11,87,24,0,13029,0,0.9858,4.1750,0.2759,0.0000
5,2022,100,0,2,1,0,0,162,1458,5999,1572,4336,91,139,0,17,91,28,0,13020,0,0.9848,4.0839,0.3077,0.0000
5,2023,100,0,2,1,0,0,162,1458,6057,1631,4314,112,166,0,16,85,25,0,12954,0,0.9815,4.1304,0.2941,0.0000
5,2024,100,0,2,1,0,0,162,1458,6010,1633,4283,94,135,0,9,101,27,0,12879,0,0.9844,4.1342,0.2673,0.0000
5,2025,100,0,2,1,0,0,162,1458,6155,1726,4318,111,153,0,9,103,28,0,12966,0,0.9820,4.1953,0.2718,0.0000
5,2026,100,0,2,1,0,0,162,1458,6153,1696,4338,119,177,1,10,93,31,0,13047,0,0.9807,4.1623,0.3333,0.0000
5,2027,100,0,2,1,0,0,162,1458,6196,1705,4404,87,180,0,9,111,28,0,13239,0,0.9860,4.1530,0.2523,0.0000
5,2028,100,0,2,1,0,0,162,1458,6124,1658,4375,91,149,0,15,101,34,0,13125,0,0.9851,4.1369,0.3366,0.0000
5,2029,100,0,2,1,0,0,162,1458,5867,1502,4284,81,133,0,11,92,24,0,12855,0,0.9862,4.0509,0.2609,0.0000
5,2030,100,0,2,1,0,0,162,1458,5885,1460,4326,99,118,0,8,123,34,0,12978,0,0.9832,4.0125,0.2764,0.0000
5,2031,100,0,2,1,0,0,162,1458,5889,1439,4359,91,131,0,11,95,31,0,13077,0,0.9845,3.9904,0.3263,0.0000
5,2032,100,0,2,1,0,0,162,1458,5901,1477,4326,98,119,0,11,104,34,0,12978,0,0.9834,4.0243,0.3269,0.0000
