team_id,year,league_id,sub_league_id,division_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,other_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,development_budget,draft_budget,draft_expenses,budget,market,owner_expectation,scouting_budget,scouting_amateur,scouting_major,scouting_minor,scouting_international
1,2018,100,0,2,20451850,16738805,49500000,16985756,'',0,0,4000000,-21810965,0,25810965,72048387,1844740,0,8104,1366572,50,5,0,27.2146,25000000,3,24500000,2,12000000,9375000,6907600,110000000,4,0,7200000,0,0,0,0
1,2019,100,0,2,19058480,19904872,49500000,16981245,'',2349449,0,4111364,-1027843,0,2789758,67654779,3226699,0,10457,1498203,50,5,0,26.0067,25000000,2,24500000,1,12000000,9370000,6120000,110000000,4,0,8800000,0,0,0,0
1,2020,100,0,2,20924626,19870692,49500000,17256681,'',2861048,0,8000000,-2000000,0,7383199,85942360,3798660,0,10903,1689737,50,5,0,24.1430,25000000,1,24500000,3,12000000,4900000,5210000,110000000,4,0,8800000,0,0,0,0
1,2021,100,0,2,17145179,17091162,50500000,15883735,'',3892682,0,2755768,-688942,0,-447972,67884380,4396659,0,9591,1378198,49,4,-3,24.8414,26000000,2,24500000,2,6490000,14060000,6880000,106000000,4,0,4760000,0,0,0,0
1,2022,100,0,2,19973807,14825366,50500000,15147357,'',4679167,0,7275176,-1528796,1160000,2964805,65191614,6120000,0,8513,1438520,50,3,0,24.1910,26000000,1,24500000,1,12000000,9370000,2470000,110000000,4,0,5600000,0,0,0,0
1,2023,100,0,2,22338404,13937198,50500000,15237381,'',6035060,0,2589600,-647404,0,-2798056,60781248,4160000,0,8003,1576968,50,3,0,23.0034,26000000,2,24500000,3,12000000,9370000,11550000,110000000,4,0,7600000,0,0,0,0
1,2024,100,0,2,20241195,16483270,50500000,15486993,'',7701751,0,6774688,-1693676,0,766613,83288169,4191999,0,9465,1528796,50,3,0,24.0218,26000000,1,24500000,2,6000000,4680000,7840000,110000000,4,0,4000000,0,0,0,0
1,2025,100,0,2,25638883,16147163,50500000,15425613,'',6589316,0,3921812,-980457,0,-1687047,64808908,5158000,0,9272,1826867,52,3,0,22.8731,26000000,1,24500000,1,6000000,4680000,2110000,102000000,4,0,4000000,0,0,0,0
1,2026,100,0,2,20870135,16669641,50500000,15577017,'',6780256,0,8000000,-24968609,0,27322458,73832108,4863999,0,9462,1562622,50,3,0,24.0236,26000000,2,24500000,1,12000000,3120000,3490000,108000000,4,0,7600000,0,0,0,0
1,2027,100,0,2,18912103,16026997,50500000,15317175,'',6746243,0,6230000,-8576929,-1770000,9830686,57512089,6184000,0,9203,1437526,49,3,0,24.3050,26000000,1,24500000,1,6000000,4680000,3590000,106000000,4,0,4000000,0,0,0,0
1,2028,100,0,2,23630686,16316086,50500000,15311037,'',5509834,0,3180000,-2000000,-4820000,10429199,54907594,4235999,0,9369,1724427,49,3,0,23.1652,26000000,2,24500000,3,12290000,5390000,7310000,110000000,4,0,11060000,0,0,0,0
1,2029,100,0,2,26355330,15790156,50500000,15499269,'',4212546,0,10000000,-13346762,0,19134216,70933863,4249999,0,9067,1858822,52,3,0,22.6732,26000000,1,24500000,2,12760000,5290000,4020000,114000000,4,0,11490000,0,0,0,0
1,2030,100,0,2,27236489,15725338,50500000,15474717,'',3611763,0,10000000,-8302656,0,14690893,70190514,4873999,0,8926,1845197,52,3,-2,23.2831,26000000,2,24500000,1,6000000,1650000,3380000,116000000,4,0,5400000,0,0,0,0
1,2031,100,0,2,34312873,16378950,50500000,16070078,'',3663918,6356211,10000000,-22755949,0,29092031,77539853,5186000,0,9297,2287680,56,3,5,22.1586,26000000,1,24500000,1,12040000,3160000,1990000,116000000,4,0,6820000,0,0,0,0
1,2032,100,0,2,30773654,21925647,51500000,18422610,'',5652172,4911303,10000000,-25371469,0,29880778,102018522,5311999,0,11769,2268382,60,4,0,23.2321,27000000,2,24500000,1,12000000,3310000,4670000,130000000,4,0,6800000,0,0,0,0
1,2033,100,0,2,26690346,22019688,51500000,17813830,'',3638172,0,5270834,0,0,1632662,113062709,5377999,0,11327,1946043,57,3,-1,25.0303,27000000,1,24500000,1,7800000,4440000,3600000,134000000,4,0,4420000,0,0,0,0
1,2034,100,0,2,26213221,18933510,51500000,16121223,'',3350384,0,-3200000,4415626,0,-10966010,119142396,5128000,0,9842,1818555,51,3,0,24.8256,27000000,1,24500000,2,6000000,14060000,4150000,130000000,4,0,4000000,0,0,0,0
2,2018,100,0,0,46908060,39183375,87750000,24799673,'',0,17403971,3000000,-60131539,0,63131539,119241325,2173939,0,15357,2697840,80,7,0,31.9112,47500000,1,40250000,3,13571600,10602800,2923300,160000000,7,0,6333400,0,0,0,0
2,2019,100,0,0,27378147,45799020,90250000,24352027,'',-659783,0,6000000,-61777162,0,71619230,114483592,3080780,0,16630,2075041,73,7,0,35.2654,50000000,2,40250000,2,12520000,1180000,8740000,174000000,7,0,5560000,0,0,0,0
2,2020,100,0,0,41481438,40650475,90250000,23632774,'',0,18953557,6000000,-41888650,0,48641736,104425214,3853319,0,15932,2651120,75,7,0,30.9801,50000000,1,40250000,1,16850000,5630000,6540000,184000000,7,0,7860000,0,0,0,0
2,2021,100,0,0,27223267,46526780,87750000,24626143,'',3892682,0,6000000,-53552393,0,70409711,120228874,4124000,0,17674,2174458,72,7,0,33.9165,47500000,3,40250000,2,14080000,11000000,2290000,194000000,7,0,6570000,0,0,0,0
2,2022,100,0,0,21994332,35201709,87750000,23170080,'',4679167,0,6000000,-37328471,0,39266310,122585187,4116000,0,14019,1773738,71,7,0,32.2460,47500000,2,40250000,1,12660000,9890000,4730000,184000000,7,0,7170000,0,0,0,0
2,2023,100,0,0,26024099,34486130,87750000,23041820,'',0,0,6000000,-12487526,0,19151230,115226171,4319999,0,15482,2135871,69,7,0,28.3305,47500000,1,40250000,1,9000000,8310000,3330000,158000000,7,0,5400000,0,0,0,0
2,2024,100,0,0,25340150,34992000,87750000,22362830,'',7701875,0,3370000,-38227754,-2630000,36525879,128305090,4939999,0,14400,1982359,66,7,0,30.4345,47500000,2,40250000,1,12000000,9370000,2020000,170000000,7,0,6800000,0,0,0,0
2,2025,100,0,0,43176477,32659385,87750000,23127323,'',4506,1657309,6000000,-7596743,0,14781064,85833335,5205999,0,15073,2702191,72,7,5,28.0646,47500000,1,40250000,1,10570000,9760000,6030000,158000000,7,0,6340000,0,0,0,0
2,2026,100,0,0,27177044,39730768,90250000,23429100,'',6780256,0,6000000,-77231416,0,77511160,85118742,5325999,0,16215,2133550,69,7,0,31.3599,50000000,2,40250000,2,15000000,4840000,7310000,172000000,7,0,8500000,0,0,0,0
2,2027,100,0,0,28063250,38933055,90250000,22727448,'',6746243,0,8160000,-59864340,2160000,59930134,114421029,6007999,0,15505,2073550,66,7,0,32.3100,50000000,1,40250000,1,14210000,11100000,6900000,180000000,7,0,8050000,0,0,0,0
2,2028,100,0,0,23017394,37178450,87750000,21779378,'',0,0,6000000,-31309663,0,37927194,115186576,6159999,0,15965,1925654,59,7,0,31.2599,47500000,3,40250000,1,13870000,4660000,4970000,172000000,7,0,7860000,0,0,0,0
2,2029,100,0,0,23925530,23386497,87750000,20064276,'',4444,0,6000000,-18503709,0,25243956,112259500,6507999,0,10499,1605255,58,7,0,29.4732,47500000,2,40250000,3,12000000,5460000,6280000,160000000,7,0,6800000,0,0,0,0
2,2030,100,0,0,26895843,22340205,87750000,20003918,'',3611763,0,6000000,-8257729,0,13962385,84397534,6324000,0,10215,1758254,56,7,0,28.0028,47500000,1,40250000,2,14690000,6510000,5840000,152000000,7,0,8320000,0,0,0,0
