team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2034,100,1,1,5540,1452,6237,2381,1416,1261,471,546,738,678,1462,1411,23180,0,162,162,82,80,47,877,311,44,39,30,198,1,0,30,75,68,158,154,78,68,21,431,4,8,65,30,61,12.5826,0.2556,0.3278,0.4298,0.7576,8.7769,7.8161,1.2273,3.3843,0.0247,0.0000,0.4815,0.5062,2.9074,0.6912,0.3088,0.3666,4.2025,140.4848,0.0000,1.3512,0.5089,2.3095,0.2956
2,2034,100,1,1,5529,1443,6235,2308,1378,1478,411,561,721,676,1343,1345,23620,0,162,162,81,81,47,890,257,41,43,20,211,9,0,41,76,61,162,115,54,62,15,597,0,10,103,30,94,12.4740,0.2492,0.3229,0.4174,0.7403,8.5946,9.2183,1.3160,3.4990,0.0000,0.0000,0.3333,0.5000,2.5370,0.7581,0.2419,0.2714,4.2162,141.4371,0.0000,1.3437,0.4996,2.6346,0.3005
3,2034,100,1,1,5571,1459,6313,2384,1423,1343,479,572,746,697,1480,1356,23629,1,162,162,83,79,43,895,300,56,38,23,205,5,2,60,69,74,155,138,59,65,22,510,7,5,62,30,64,12.7599,0.2554,0.3308,0.4279,0.7587,8.7759,8.2825,1.2643,3.5276,0.0432,0.0000,0.3642,0.5123,2.9568,0.6615,0.3385,0.3039,4.2985,140.6488,0.0000,1.3671,0.5219,2.3479,0.2999
4,2034,100,1,1,5495,1453,6268,2396,1378,1441,508,595,764,721,1353,1377,23686,2,162,162,80,82,45,851,272,57,53,19,236,12,0,37,59,68,157,125,73,79,34,452,5,10,71,31,59,12.6363,0.2508,0.3286,0.4360,0.7646,8.5315,8.9216,1.4611,3.6838,0.0309,0.0000,0.4506,0.4938,3.1358,0.5696,0.4304,0.3473,4.4639,144.4268,0.0000,1.3573,0.4956,2.4218,0.2950
5,2034,100,1,1,5533,1431,6118,2364,1404,1446,624,422,728,658,1299,1396,22768,2,162,162,87,75,42,872,307,53,35,22,203,2,1,27,61,74,158,106,89,63,18,377,4,6,70,21,56,11.9441,0.2538,0.3133,0.4273,0.7406,8.8261,9.0901,1.2761,2.6529,0.0247,0.0000,0.5494,0.5370,3.8519,0.7000,0.2857,0.4191,4.1364,136.3353,0.0000,1.2754,0.4820,3.4265,0.3065
6,2034,100,1,1,5552,1450,6287,2400,1426,1368,367,564,793,740,1405,1383,23670,1,162,162,66,96,45,893,296,58,44,33,204,8,1,30,60,68,162,135,55,71,26,496,0,4,92,30,67,12.7709,0.2568,0.3304,0.4323,0.7627,8.8490,8.4891,1.2659,3.4999,0.0000,0.0000,0.3395,0.4074,2.2654,0.6338,0.3662,0.3266,4.5920,144.3293,0.0000,1.3721,0.5039,2.4255,0.3037
7,2034,100,1,1,5487,1450,6150,2281,1360,1363,588,491,736,694,1359,1426,23123,1,162,162,90,72,49,876,252,36,48,27,205,11,1,17,71,87,152,146,89,73,23,429,10,9,72,27,73,12.0262,0.2479,0.3170,0.4157,0.7327,8.4394,8.4581,1.2721,3.0469,0.0617,0.0000,0.5494,0.5556,3.6296,0.6806,0.3151,0.3543,4.3066,140.1394,0.0000,1.2763,0.4880,2.7760,0.2912
8,2034,100,1,1,5519,1444,6236,2257,1422,1419,497,558,719,665,1383,1311,23527,2,162,162,72,90,41,919,328,52,41,18,157,10,1,26,93,65,156,152,65,65,22,443,6,9,87,33,61,12.7400,0.2577,0.3307,0.4090,0.7397,8.8588,8.8401,0.9781,3.4762,0.0370,0.0000,0.4012,0.4444,3.0679,0.6508,0.3385,0.3521,4.1428,143.4573,0.0000,1.3706,0.5134,2.5430,0.3175
9,2034,100,1,1,5452,1454,6034,2235,1296,1355,573,446,650,617,1329,1509,22316,1,162,162,92,70,41,792,270,47,31,33,201,2,0,14,42,58,156,115,88,55,13,420,6,13,62,20,59,11.1391,0.2377,0.3007,0.4099,0.7106,8.0202,8.3853,1.2439,2.7600,0.0370,0.0000,0.5432,0.5679,3.5370,0.7593,0.2364,0.3714,3.8182,134.4337,0.0000,1.1978,0.4683,3.0381,0.2788
10,2034,100,1,1,5562,1471,6238,2333,1342,1371,545,531,730,685,1454,1424,23257,1,162,162,82,80,40,833,255,41,38,26,228,8,0,30,66,66,160,118,78,79,36,523,2,7,67,24,71,11.8607,0.2413,0.3129,0.4195,0.7323,8.2089,8.3863,1.3947,3.2481,0.0123,0.0000,0.4815,0.5062,3.3642,0.5263,0.4557,0.3059,4.1901,140.9515,0.0000,1.2730,0.5052,2.5819,0.2784
