team_id,g,w,l,pos,pct,gb,streak,magic_number
1,162,82,80,3,0.5062,5.0000,2,1000
2,162,81,81,2,0.5000,8.0000,-1,1000
3,162,83,79,2,0.5123,4.0000,1,1000
4,162,80,82,4,0.4938,9.0000,1,1000
5,162,87,75,1,0.5370,0.0000,1,-3
6,162,66,96,5,0.4074,21.0000,-1,1000
7,162,90,72,2,0.5556,2.0000,-2,1000
8,162,72,90,4,0.4444,15.0000,-2,1000
9,162,92,70,1,0.5679,0.0000,2,-1
10,162,82,80,4,0.5062,10.0000,-3,1000
11,162,77,85,5,0.4753,15.0000,-2,1000
12,162,81,81,3,0.5000,8.0000,1,1000
13,162,71,91,5,0.4383,18.0000,-1,1000
14,162,87,75,3,0.5370,5.0000,2,1000
15,162,89,73,1,0.5494,0.0000,-1,-7
16,162,75,87,3,0.4630,15.0000,-1,1000
17,162,80,82,4,0.4938,15.0000,1,1000
18,162,68,94,5,0.4198,23.0000,2,1000
19,162,88,74,2,0.5432,2.0000,-1,1000
20,162,91,71,2,0.5617,4.0000,2,1000
21,162,75,87,4,0.4630,15.0000,-3,1000
22,162,91,71,1,0.5617,0.0000,6,-9
23,162,95,67,1,0.5864,0.0000,-2,-3
24,162,81,81,2,0.5000,10.0000,5,1000
25,162,82,80,3,0.5062,13.0000,2,1000
26,162,73,89,3,0.4506,18.0000,-2,1000
27,162,71,91,4,0.4383,20.0000,-4,1000
28,162,90,72,1,0.5556,0.0000,1,-1
29,162,78,84,5,0.4815,17.0000,-2,1000
30,162,72,90,5,0.4444,18.0000,3,1000
31,144,74,70,3,0.5139,14.0000,-1,1000
32,144,68,76,4,0.4722,20.0000,1,1000
33,144,84,60,1,0.5833,0.0000,-1,-8
34,144,78,66,2,0.5417,10.0000,2,1000
35,144,64,80,5,0.4444,24.0000,-5,1000
36,144,75,69,2,0.5208,9.0000,5,1000
37,144,70,74,4,0.4861,14.0000,-2,1000
38,144,88,56,1,0.6111,0.0000,-2,-9
39,144,65,79,3,0.4514,18.0000,-1,1000
40,144,55,89,5,0.3819,29.0000,-4,1000
41,144,83,61,1,0.5764,0.0000,1,-13
42,144,72,72,3,0.5000,12.0000,2,1000
43,144,64,80,5,0.4444,19.0000,-6,1000
44,144,64,80,4,0.4444,19.0000,4,1000
45,144,69,75,2,0.4792,14.0000,1,1000
46,144,72,72,3,0.5000,9.0000,3,1000
47,144,81,63,1,0.5625,0.0000,-4,-5
48,145,76,69,2,0.5241,5.5000,1,1000
49,144,62,82,5,0.4306,19.0000,5,1000
50,144,68,76,3,0.4722,27.0000,-4,1000
51,144,66,78,4,0.4583,15.0000,-3,1000
52,145,75,70,3,0.5172,1.5000,-1,1000
53,144,56,88,5,0.3889,39.0000,-4,1000
54,144,82,62,2,0.5694,13.0000,3,1000
55,144,74,70,4,0.5139,2.0000,-1,1000
56,144,95,49,1,0.6597,0.0000,8,-12
57,144,75,69,2,0.5208,1.0000,1,1000
58,144,64,80,4,0.4444,31.0000,1,1000
59,144,76,68,1,0.5278,0.0000,-1,0
60,144,66,78,5,0.4583,10.0000,4,1000
61,131,71,60,3,0.5420,9.5000,1,1000
62,131,63,68,4,0.4809,17.5000,-1,1000
63,131,42,89,5,0.3206,35.0000,1,1000
64,130,80,50,1,0.6154,0.0000,2,4
65,131,74,57,2,0.5649,6.5000,-3,1000
66,131,56,75,5,0.4275,16.0000,-1,1000
67,131,57,74,4,0.4351,15.0000,-2,1000
68,127,52,75,4,0.4094,23.0000,-6,1000
69,131,75,56,2,0.5725,2.0000,-2,1000
70,131,67,64,3,0.5115,10.0000,1,1000
71,131,62,69,5,0.4733,18.5000,1,1000
72,131,67,64,2,0.5115,5.0000,-1,1000
73,131,77,54,1,0.5878,0.0000,-1,8
74,131,65,66,3,0.4962,7.0000,4,1000
75,131,72,59,1,0.5496,0.0000,2,5
76,131,43,88,5,0.3282,35.0000,2,1000
77,131,60,71,4,0.4580,19.0000,-1,1000
78,131,61,70,4,0.4656,17.0000,-2,1000
79,131,75,56,2,0.5725,4.0000,3,1000
80,131,58,73,4,0.4427,16.0000,-4,1000
81,131,68,63,2,0.5191,10.0000,5,1000
82,131,56,75,5,0.4275,18.0000,-3,1000
83,131,79,52,1,0.6031,0.0000,1,6
84,131,57,74,5,0.4351,22.0000,1,1000
85,132,73,59,3,0.5530,6.5000,1,1000
86,131,78,53,1,0.5954,0.0000,-1,0
87,131,66,65,3,0.5038,12.0000,5,1000
88,127,72,55,1,0.5669,0.0000,2,10
89,131,72,59,2,0.5496,2.0000,-1,1000
90,131,63,68,3,0.4809,11.0000,-4,1000
91,127,69,58,1,0.5433,0.0000,-2,9
92,131,66,65,4,0.5038,14.5000,2,1000
93,131,78,53,1,0.5954,0.0000,-1,0
94,131,47,84,4,0.3588,24.0000,-2,1000
95,131,54,77,5,0.4122,24.0000,-2,1000
96,131,68,63,2,0.5191,3.0000,1,1000
97,130,80,50,1,0.6154,0.0000,1,9
98,131,68,63,2,0.5191,10.0000,4,1000
99,131,79,52,2,0.6031,1.5000,1,1000
100,131,62,69,3,0.4733,9.0000,1,1000
101,131,63,68,5,0.4809,17.5000,2,1000
102,131,57,74,4,0.4351,21.0000,-1,1000
103,131,77,54,3,0.5878,3.5000,-1,1000
104,131,66,65,3,0.5038,12.0000,-1,1000
105,131,46,85,5,0.3511,25.0000,-4,1000
106,131,57,74,3,0.4351,16.5000,-1,1000
107,131,64,67,3,0.4885,15.0000,2,1000
108,132,73,59,2,0.5530,1.0000,-3,1000
109,131,69,62,4,0.5267,9.0000,-1,1000
110,131,78,53,1,0.5954,0.0000,1,8
111,131,49,82,5,0.3740,24.5000,-2,1000
112,131,63,68,4,0.4809,16.0000,-1,1000
113,131,72,59,3,0.5496,6.0000,2,1000
114,131,50,81,5,0.3817,29.0000,1,1000
115,131,76,55,2,0.5802,2.0000,-1,1000
116,131,56,75,4,0.4275,17.5000,-5,1000
117,131,79,52,1,0.6031,0.0000,3,11
118,130,45,85,5,0.3462,32.5000,1,1000
119,127,76,51,2,0.5984,1.0000,3,1000
120,132,74,58,1,0.5606,0.0000,2,8
121,70,38,32,2,0.5429,10.5000,2,1000
122,70,32,38,4,0.4571,13.5000,-3,1000
123,70,25,45,5,0.3571,23.5000,-1,1000
124,70,37,33,3,0.5286,1.5000,-3,1000
125,71,31,40,4,0.4366,18.0000,1,1000
126,70,37,33,2,0.5286,8.5000,1,1000
127,71,38,33,2,0.5352,1.0000,-1,1000
128,73,24,49,5,0.3288,23.0000,-2,1000
129,73,50,23,1,0.6849,0.0000,12,-5
130,70,37,33,3,0.5286,11.5000,1,1000
131,71,39,32,1,0.5493,0.0000,1,5
132,71,46,25,1,0.6479,0.0000,6,-2
133,73,34,39,3,0.4658,13.0000,3,1000
134,70,29,41,5,0.4143,9.5000,-3,1000
135,73,36,37,4,0.4932,4.0000,-1,1000
