team_id,head_scout,scouts0,scouts1,scouts2,scouts3,scouts4,manager,general_manager,pitching_coach,hitting_coach,bench_coach,owner,doctor
1,82,0,0,0,0,0,489,73,0,1306,830,1322,53
2,145,0,0,0,0,0,1310,206,707,589,815,838,151
3,75,0,0,0,0,0,8,87,614,90,65,839,88
4,257,0,0,0,0,0,162,248,488,595,182,840,46
5,222,0,0,0,0,0,964,94,119,16,472,1237,25
6,26,0,0,0,0,0,519,101,587,370,1286,1269,207
7,47,0,0,0,0,0,247,31,827,481,836,843,116
8,124,0,0,0,0,0,918,80,77,237,1301,844,144
9,33,0,0,0,0,0,239,10,105,69,813,845,221
10,208,0,0,0,0,0,36,234,722,48,510,846,4
11,166,0,0,0,0,0,714,68,770,1251,218,1305,102
12,194,0,0,0,0,0,177,213,483,823,368,848,123
13,236,0,0,0,0,0,0,171,656,20,0,1177,81
14,201,0,0,0,0,0,828,3,175,97,23,850,32
15,40,0,0,0,0,0,191,241,161,258,603,851,137
16,229,0,0,0,0,0,364,115,176,244,1199,852,39
17,89,0,0,0,0,0,363,173,374,376,591,841,179
18,215,0,0,0,0,0,711,24,91,160,814,1229,256
19,187,0,0,0,0,0,834,262,590,373,9,837,60
20,103,0,0,0,0,0,1195,185,14,703,809,1316,11
21,264,0,0,0,0,0,127,66,70,146,831,857,193
22,152,0,0,0,0,0,226,157,217,153,266,858,200
23,131,0,0,0,0,0,1233,52,28,1223,189,859,109
24,19,0,0,0,0,0,459,59,1308,216,522,860,214
25,54,0,0,0,0,0,1070,143,491,793,720,861,74
26,243,0,0,0,0,0,190,122,515,76,856,862,172
27,250,0,0,0,0,0,253,150,833,604,107,863,186
28,12,0,0,0,0,0,1267,45,596,111,480,864,67
29,138,0,0,0,0,0,232,17,512,832,49,865,228
30,159,0,0,0,0,0,285,38,63,628,128,866,165
31,0,0,0,0,0,0,273,0,275,274,0,0,0
32,0,0,0,0,0,0,279,0,281,280,0,0,0
33,0,0,0,0,0,0,303,0,305,304,0,0,0
34,0,0,0,0,0,0,276,0,1284,277,0,0,0
35,0,0,0,0,0,0,270,0,272,271,0,0,0
36,0,0,0,0,0,0,306,0,308,307,0,0,0
37,0,0,0,0,0,0,300,0,7,301,0,0,0
38,0,0,0,0,0,0,267,0,269,268,0,0,0
39,0,0,0,0,0,0,585,0,293,292,0,0,0
40,0,0,0,0,0,0,309,0,311,310,0,0,0
41,0,0,0,0,0,0,282,0,284,283,0,0,0
42,0,0,0,0,0,0,297,0,299,298,0,0,0
43,0,0,0,0,0,0,294,0,296,295,0,0,0
44,0,0,0,0,0,0,288,0,290,289,0,0,0
45,0,0,0,0,0,0,1174,0,252,286,0,0,0
46,0,0,0,0,0,0,336,0,338,337,0,0,0
47,0,0,0,0,0,0,330,0,332,331,0,0,0
48,0,0,0,0,0,0,327,0,329,328,0,0,0
49,0,0,0,0,0,0,339,0,341,340,0,0,0
50,0,0,0,0,0,0,342,0,344,6,0,0,0
51,0,0,0,0,0,0,333,0,335,334,0,0,0
52,0,0,0,0,0,0,318,0,320,319,0,0,0
53,0,0,0,0,0,0,348,0,350,349,0,0,0
54,0,0,0,0,0,0,351,0,353,352,0,0,0
55,0,0,0,0,0,0,324,0,326,325,0,0,0
56,0,0,0,0,0,0,345,0,347,346,0,0,0
57,0,0,0,0,0,0,321,0,323,322,0,0,0
58,0,0,0,0,0,0,354,0,356,355,0,0,0
59,0,0,0,0,0,0,315,0,317,316,0,0,0
60,0,0,0,0,0,0,312,0,314,313,0,0,0
61,0,0,0,0,0,0,390,0,704,391,0,0,0
62,0,0,0,0,0,0,384,0,386,385,0,0,0
63,0,0,0,0,0,0,408,0,410,409,0,0,0
64,0,0,0,0,0,0,387,0,389,388,0,0,0
65,0,0,0,0,0,0,393,0,395,394,0,0,0
66,0,0,0,0,0,0,423,0,425,424,0,0,0
67,0,0,0,0,0,0,411,0,413,412,0,0,0
68,0,0,0,0,0,0,399,0,401,400,0,0,0
69,0,0,0,0,0,0,405,0,1140,406,0,0,0
70,0,0,0,0,0,0,402,0,404,403,0,0,0
71,0,0,0,0,0,0,381,0,383,382,0,0,0
72,0,0,0,0,0,0,420,0,821,421,0,0,0
73,0,0,0,0,0,0,708,0,398,397,0,0,0
74,0,0,0,0,0,0,414,0,416,415,0,0,0
75,0,0,0,0,0,0,417,0,419,418,0,0,0
76,0,0,0,0,0,0,58,0,1309,721,0,0,0
77,0,0,0,0,0,0,435,0,437,436,0,0,0
78,0,0,0,0,0,0,456,0,458,457,0,0,0
79,0,0,0,0,0,0,426,0,428,427,0,0,0
80,0,0,0,0,0,0,441,0,443,442,0,0,0
81,0,0,0,0,0,0,468,0,470,469,0,0,0
82,0,0,0,0,0,0,450,0,452,451,0,0,0
83,0,0,0,0,0,0,432,0,434,433,0,0,0
84,0,0,0,0,0,0,291,0,431,430,0,0,0
85,0,0,0,0,0,0,438,0,440,439,0,0,0
86,0,0,0,0,0,0,465,0,467,466,0,0,0
87,0,0,0,0,0,0,462,0,464,463,0,0,0
88,0,0,0,0,0,0,444,0,446,445,0,0,0
89,0,0,0,0,0,0,198,0,455,460,0,0,0
90,0,0,0,0,0,0,447,0,449,448,0,0,0
91,0,0,0,0,0,0,1283,0,1293,523,0,0,0
92,0,0,0,0,0,0,504,0,506,454,0,0,0
93,0,0,0,0,0,0,534,0,536,535,0,0,0
94,0,0,0,0,0,0,588,0,377,763,0,0,0
95,0,0,0,0,0,0,531,0,533,532,0,0,0
96,0,0,0,0,0,0,516,0,518,517,0,0,0
97,0,0,0,0,0,0,507,0,509,508,0,0,0
98,0,0,0,0,0,0,537,0,521,538,0,0,0
99,0,0,0,0,0,0,501,0,503,502,0,0,0
100,0,0,0,0,0,0,513,0,1321,514,0,0,0
101,0,0,0,0,0,0,495,0,497,496,0,0,0
102,0,0,0,0,0,0,525,0,527,526,0,0,0
103,0,0,0,0,0,0,498,0,500,499,0,0,0
104,0,0,0,0,0,0,528,0,530,529,0,0,0
105,0,0,0,0,0,0,1329,0,56,511,0,0,0
106,0,0,0,0,0,0,561,0,1326,562,0,0,0
107,0,0,0,0,0,0,570,0,572,571,0,0,0
108,0,0,0,0,0,0,564,0,566,565,0,0,0
109,0,0,0,0,0,0,552,0,554,553,0,0,0
110,0,0,0,0,0,0,549,0,551,550,0,0,0
111,0,0,0,0,0,0,1303,0,560,559,0,0,0
112,0,0,0,0,0,0,582,0,584,583,0,0,0
113,0,0,0,0,0,0,543,0,974,544,0,0,0
114,0,0,0,0,0,0,573,0,140,574,0,0,0
115,0,0,0,0,0,0,546,0,548,547,0,0,0
116,0,0,0,0,0,0,567,0,569,568,0,0,0
117,0,0,0,0,0,0,579,0,581,580,0,0,0
118,0,0,0,0,0,0,540,0,542,541,0,0,0
119,0,0,0,0,0,0,576,0,1198,577,0,0,0
120,0,0,0,0,0,0,555,0,557,556,0,0,0
121,0,0,0,0,0,0,618,0,620,619,0,0,0
122,0,0,0,0,0,0,630,0,632,631,0,0,0
123,0,0,0,0,0,0,621,0,623,622,0,0,0
124,0,0,0,0,0,0,645,0,647,646,0,0,0
125,0,0,0,0,0,0,609,0,611,610,0,0,0
126,0,0,0,0,0,0,636,0,638,637,0,0,0
127,0,0,0,0,0,0,648,0,650,649,0,0,0
128,0,0,0,0,0,0,624,0,626,625,0,0,0
129,0,0,0,0,0,0,615,0,617,616,0,0,0
130,0,0,0,0,0,0,612,0,473,613,0,0,0
131,0,0,0,0,0,0,642,0,644,643,0,0,0
132,0,0,0,0,0,0,627,0,629,1276,0,0,0
133,0,0,0,0,0,0,633,0,635,634,0,0,0
134,0,0,0,0,0,0,639,0,641,640,0,0,0
135,0,0,0,0,0,0,651,0,653,652,0,0,0
136,0,0,0,0,0,0,690,0,692,691,0,0,0
137,0,0,0,0,0,0,654,0,1173,826,0,0,0
138,0,0,0,0,0,0,660,0,662,661,0,0,0
139,0,0,0,0,0,0,678,0,680,679,0,0,0
140,0,0,0,0,0,0,265,0,659,658,0,0,0
141,0,0,0,0,0,0,669,0,671,670,0,0,0
142,0,0,0,0,0,0,693,0,695,694,0,0,0
143,0,0,0,0,0,0,675,0,677,676,0,0,0
144,0,0,0,0,0,0,666,0,380,667,0,0,0
145,0,0,0,0,0,0,687,0,689,688,0,0,0
146,0,0,0,0,0,0,684,0,686,685,0,0,0
147,0,0,0,0,0,0,681,0,683,682,0,0,0
148,0,0,0,0,0,0,663,0,665,664,0,0,0
149,0,0,0,0,0,0,696,0,698,697,0,0,0
150,0,0,0,0,0,0,672,0,674,673,0,0,0
151,0,0,0,0,0,0,204,0,728,727,0,0,0
152,0,0,0,0,0,0,759,0,761,760,0,0,0
153,0,0,0,0,0,0,762,0,764,598,0,0,0
154,0,0,0,0,0,0,738,0,740,739,0,0,0
155,0,0,0,0,0,0,747,0,791,748,0,0,0
156,0,0,0,0,0,0,753,0,755,754,0,0,0
157,0,0,0,0,0,0,729,0,731,730,0,0,0
158,0,0,0,0,0,0,741,0,743,742,0,0,0
159,0,0,0,0,0,0,744,0,746,745,0,0,0
160,0,0,0,0,0,0,735,0,737,736,0,0,0
161,0,0,0,0,0,0,732,0,359,733,0,0,0
162,0,0,0,0,0,0,765,0,767,766,0,0,0
163,0,0,0,0,0,0,723,0,725,724,0,0,0
164,0,0,0,0,0,0,756,0,758,757,0,0,0
165,0,0,0,0,0,0,750,0,752,751,0,0,0
166,0,0,0,0,0,0,789,0,392,790,0,0,0
167,0,0,0,0,0,0,774,0,776,775,0,0,0
168,0,0,0,0,0,0,798,0,800,799,0,0,0
169,0,0,0,0,0,0,777,0,779,778,0,0,0
170,0,0,0,0,0,0,792,0,794,343,0,0,0
171,0,0,0,0,0,0,371,0,797,796,0,0,0
172,0,0,0,0,0,0,780,0,782,781,0,0,0
173,0,0,0,0,0,0,783,0,785,784,0,0,0
174,0,0,0,0,0,0,807,0,479,808,0,0,0
175,0,0,0,0,0,0,801,0,803,802,0,0,0
176,0,0,0,0,0,0,810,0,812,811,0,0,0
177,0,0,0,0,0,0,768,0,21,816,0,0,0
