team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2034,100,1,1,3592,949,4018,1538,909,813,471,327,454,416,974,921,14915,1,162,162,57,47,0,559,199,39,26,23,128,0,0,10,52,34,0,95,78,0,0,0,4,3,42,21,0,12.0400,0.2531,0.3192,0.4282,0.7473,8.6176,7.7075,1.2135,3.1001,0.0247,0.0000,0.4815,0.5481,2.9074,0.0000,0.0000,0.0000,3.9438,92.0679,0.0000,1.3020,0.5140,2.4862,0.2917
2,2034,100,1,1,3271,843,3683,1427,851,846,411,311,459,426,822,777,13867,2,162,162,44,54,0,546,162,35,28,15,128,4,0,17,42,38,0,62,54,0,0,0,0,0,66,19,0,12.8013,0.2602,0.3289,0.4363,0.7652,9.0782,9.0249,1.3655,3.3177,0.0000,0.0000,0.3333,0.4490,2.5370,0.0000,0.0000,0.0000,4.5444,85.5988,0.0000,1.3773,0.5141,2.7203,0.3110
3,2034,100,1,1,3395,876,3833,1504,910,738,479,333,496,460,966,803,14267,1,162,162,44,55,0,575,198,39,23,15,122,3,1,20,35,42,0,82,59,0,0,0,7,1,35,20,0,13.1970,0.2680,0.3388,0.4430,0.7818,9.3458,7.5793,1.2529,3.4199,0.0432,0.0000,0.3642,0.4444,2.9568,0.0000,0.0000,0.0000,4.7242,88.0679,0.0000,1.4184,0.5461,2.2162,0.3081
4,2034,100,1,1,3452,916,3935,1510,873,862,508,367,483,456,864,888,14726,0,162,162,52,50,0,535,184,46,25,9,145,8,0,19,41,45,0,87,73,0,0,0,5,2,55,20,0,12.6255,0.2529,0.3304,0.4374,0.7678,8.5775,8.4694,1.4247,3.6059,0.0309,0.0000,0.4506,0.5098,3.1358,0.0000,0.0000,0.0000,4.4803,90.9012,0.0000,1.3537,0.4932,2.3488,0.2947
5,2034,100,1,1,3802,984,4192,1630,978,942,624,264,502,452,907,993,15452,0,162,162,63,53,0,614,214,48,23,12,138,1,1,13,35,54,0,75,89,0,0,0,4,0,54,16,0,11.8537,0.2572,0.3128,0.4287,0.7415,8.9451,8.6159,1.2622,2.4146,0.0247,0.0000,0.5494,0.5431,3.8519,0.0000,0.0000,0.0000,4.1341,95.3827,0.0000,1.2622,0.4774,3.5682,0.3060
6,2034,100,1,1,3298,860,3697,1444,864,746,367,296,478,449,892,815,13717,1,162,162,36,64,0,545,178,37,27,21,120,4,1,7,33,38,0,89,55,0,0,0,0,0,64,20,0,12.5324,0.2620,0.3274,0.4378,0.7653,9.0384,7.8040,1.2553,3.0965,0.0000,0.0000,0.3395,0.3600,2.2654,0.0000,0.0000,0.0000,4.6970,84.6728,0.0000,1.3483,0.5226,2.5203,0.3026
7,2034,100,1,1,3680,977,4097,1449,883,942,588,307,471,438,911,956,15328,1,162,162,63,43,0,577,165,28,31,22,119,6,1,9,47,50,0,92,89,0,0,0,10,2,47,16,0,11.4188,0.2399,0.3048,0.3937,0.6986,8.1313,8.6746,1.0958,2.8271,0.0617,0.0000,0.5494,0.5943,3.6296,0.0000,0.0000,0.0000,4.0334,94.6173,0.0000,1.2176,0.4879,3.0684,0.2883
8,2034,100,1,1,3541,922,4007,1531,938,864,497,349,502,467,920,840,14858,1,162,162,46,59,0,591,217,40,31,14,116,5,0,11,54,46,0,100,65,0,0,0,6,0,60,21,0,13.0072,0.2649,0.3360,0.4324,0.7684,9.1529,8.4308,1.1319,3.4055,0.0370,0.0000,0.4012,0.4381,3.0679,0.0000,0.0000,0.0000,4.5569,91.7160,0.0000,1.3954,0.5227,2.4756,0.3171
9,2034,100,1,1,3707,982,4096,1571,905,811,573,285,475,452,905,1122,14969,0,162,162,66,53,0,548,192,40,21,21,144,1,0,2,25,43,0,73,88,0,0,0,6,3,38,15,0,11.3004,0.2441,0.3040,0.4238,0.7278,8.2943,7.4328,1.3198,2.6120,0.0370,0.0000,0.5432,0.5546,3.5370,0.0000,0.0000,0.0000,4.1426,92.4012,0.0000,1.2118,0.4465,2.8456,0.2744
10,2034,100,1,1,3509,925,3907,1484,858,801,545,311,467,434,933,929,14413,1,162,162,44,44,0,525,176,29,20,21,136,2,0,10,32,38,0,78,78,0,0,0,2,1,52,19,0,11.7396,0.2445,0.3112,0.4229,0.7342,8.3451,7.7907,1.3228,3.0249,0.0123,0.0000,0.4815,0.5000,3.3642,0.0000,0.0000,0.0000,4.2212,88.9691,0.0000,1.2633,0.5011,2.5756,0.2785
11,2034,100,1,1,3311,863,3735,1499,851,677,472,330,478,447,851,952,14102,0,162,162,41,52,0,509,179,38,21,20,143,6,1,9,38,34,0,77,63,0,0,0,1,1,60,16,0,12.6709,0.2570,0.3287,0.4527,0.7815,8.8749,7.0603,1.4913,3.4415,0.0062,0.0000,0.3889,0.4409,2.9136,0.0000,0.0000,0.0000,4.6616,87.0494,0.0000,1.3685,0.4720,2.0515,0.2818
12,2034,100,1,1,3694,968,4133,1561,917,882,520,337,522,481,939,977,15305,2,162,162,60,59,0,579,179,40,19,12,147,3,0,8,34,43,0,74,72,0,0,0,5,2,50,23,0,12.0506,0.2482,0.3169,0.4226,0.7395,8.5200,8.1948,1.3658,3.1311,0.0309,0.0000,0.4444,0.5042,3.2099,0.0000,0.0000,0.0000,4.4690,94.4753,0.0000,1.2946,0.4901,2.6172,0.2869
13,2034,100,1,1,3033,804,3482,1348,777,786,418,357,485,464,748,758,13397,2,162,162,35,60,0,471,167,40,22,13,126,5,1,1,45,29,0,85,39,0,0,0,1,0,38,19,0,13.0079,0.2562,0.3380,0.4444,0.7824,8.6906,8.7912,1.4093,3.9930,0.0062,0.0000,0.2407,0.3684,2.5802,0.0000,0.0000,0.0000,5.1897,82.6975,0.0000,1.4093,0.4967,2.2017,0.3038
