date,summary,message_id,team_id_0,player_id_0_0,draft_round_0_0,draft_team_0_0,player_id_0_1,draft_round_0_1,draft_team_0_1,player_id_0_2,draft_round_0_2,draft_team_0_2,player_id_0_3,draft_round_0_3,draft_team_0_3,player_id_0_4,draft_round_0_4,draft_team_0_4,cash_0,team_id_1,player_id_1_0,draft_round_1_0,draft_team_1_0,player_id_1_1,draft_round_1_1,draft_team_1_1,player_id_1_2,draft_round_1_2,draft_team_1_2,player_id_1_3,draft_round_1_3,draft_team_1_3,player_id_1_4,draft_round_1_4,draft_team_1_4,cash_1
"2018-5-19","The <Philadelphia Sabres:team#13> trade 35-year-old shortstop <Silas Buckley:player#18> to the <Sacramento Predators:team#29> for 25-year-old  minor league reliever <Aaron Fude:player#2400>.",1079,13,18,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,29,2400,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-5-28","The <Albuquerque Underdogs:team#11> trade 21-year-old  minor league right fielder <Dylan Dowling:player#1764> and 21-year-old starting pitcher <Nate Van Zandt:player#2269> to the <San Diego Yaks:team#8> for 27-year-old  minor league starting pitcher <Tony",-1,11,1764,0,'',2269,0,'',0,0,'',0,0,'',0,0,'',0,8,1642,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-5-29","The <Charlotte Mercenaries:team#19> trade 30-year-old third baseman <Dave Bruhn:player#785> and 24-year-old  minor league closer <Elijah Kizer:player#3490> to the <Omaha Rangers:team#10> for 31-year-old second baseman <Brian Williams:player#245>.",1185,19,785,0,'',3490,0,'',0,0,'',0,0,'',0,0,'',0,10,245,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-6-12","The <Las Vegas Privateers:team#1> trade 23-year-old  minor league starting pitcher <Kenny Crocker:player#5251> and 20-year-old  minor league starting pitcher <Nick Williams:player#452> to the <Omaha Rangers:team#10> for 25-year-old  minor league starting ",-1,1,5251,0,'',452,0,'',0,0,'',0,0,'',0,0,'',0,10,1414,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-6-13","The <Cleveland White Knights:team#15> trade 27-year-old catcher <Nick Miskimins:player#117> to the <Seattle Crusaders:team#23> for 27-year-old reliever <Miles Dupre:player#1309>.",1304,15,117,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,23,1309,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-6-13","The <Newport News Donkeys:team#28> trade 28-year-old second baseman <Jay Marchionda:player#695> to the <Phoenix Cowboys:team#20> for 20-year-old  minor league first baseman <Steve Caron:player#1911> and 21-year-old  minor league catcher <Erik Jonas:player",1305,28,695,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,20,1911,0,'',3547,0,'',0,0,'',0,0,'',0,0,'',0
"2018-6-18","The <Philadelphia Sabres:team#13> trade 30-year-old second baseman <John Shea:player#19> to the <San Diego Yaks:team#8> for 21-year-old  minor league starting pitcher <Nate Van Zandt:player#2269>, 23-year-old  minor league shortstop <Rick Richman:player#3",1343,13,19,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,8,2269,0,'',3163,0,'',3162,0,'',1659,0,'',2855,0,'',0
"2018-6-20","The <Omaha Rangers:team#10> trade 30-year-old shortstop <Jon Vasquez:player#258> to the <Cleveland White Knights:team#15> for 33-year-old  minor league reliever <Matt Easley:player#1822>.",1351,10,258,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,15,1822,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-6-20","The <Charlotte Mercenaries:team#19> trade 26-year-old third baseman <Jayden Brown:player#784> and 21-year-old  minor league reliever <Johnny Croall:player#3483> to the <Ft. Worth Dingos:team#27> for 37-year-old starting pitcher <Ken Battreall:player#997>.",1352,19,784,0,'',3483,0,'',0,0,'',0,0,'',0,0,'',0,27,997,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-3","The <Fresno Bees:team#6> trade 32-year-old reliever <Mike Hicks:player#2063> to the <Seattle Crusaders:team#23> for 24-year-old  minor league shortstop <Matt Stephens:player#1325>, 23-year-old  minor league center fielder <Josh Ryall:player#2803> and 23-y",1477,6,2063,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,23,1325,0,'',2803,0,'',2927,0,'',0,0,'',0,0,'',0
"2018-7-5","The <Oklahoma City Eagles:team#24> trade 26-year-old right fielder <Aaron Gadsden:player#1056> to the <Phoenix Cowboys:team#20> for 26-year-old second baseman <Pat Wrobleski:player#1186>.",1481,24,1056,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,20,1186,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-5","The <Mesa Sluggers:team#25> trade 36-year-old reliever <Edgar Nieblas:player#1137> to the <Long Beach Horsemen:team#3> for 29-year-old first baseman <Tim Hanson:player#555>.",1482,25,1137,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,555,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-5","The <Cleveland White Knights:team#15> trade 30-year-old catcher <Ryan Carey:player#104> and 24-year-old  minor league third baseman <David Britos:player#1835> to the <Houston Hawks:team#2> for 34-year-old starting pitcher <Tony Anderson:player#1462>.",1484,15,104,0,'',1835,0,'',0,0,'',0,0,'',0,0,'',0,2,1462,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-7","The <Fresno Bees:team#6> trade 28-year-old right fielder <Ben Skarzynski:player#609> to the <Cleveland White Knights:team#15> for 19-year-old  minor league right fielder <Brent Williamson:player#113> and 18-year-old  minor league second baseman <Giovanny ",1501,6,609,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,15,113,0,'',5447,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-7","The <Albuquerque Underdogs:team#11> trade 38-year-old left fielder <Marco Moreira:player#385> and $1,015,400 in cash to the <Miami Badlanders:team#16> for 18-year-old  minor league closer <Miguel Salas:player#730>, 22-year-old  minor league starting pitch",1502,11,385,0,'',0,0,'',0,0,'',0,0,'',0,0,'',1015400,16,730,0,'',1975,0,'',2756,0,'',0,0,'',0,0,'',0
"2018-7-7","The <Columbus Americans:team#21> trade 29-year-old second baseman <Jim Howell:player#838> to the <Milwaukee Sundevils:team#18> for 19-year-old  minor league right fielder <Mike Tullock:player#4715> and 23-year-old  minor league left fielder <Tony Torres:p",1503,21,838,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,18,4715,0,'',921,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-9","The <New Orleans Mavericks:team#22> trade 30-year-old closer <Raham Gaffin:player#984> to the <Seattle Crusaders:team#23> for 23-year-old  minor league closer <Andres Arce:player#1312>.",1537,22,984,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,23,1312,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-9","The <Las Vegas Privateers:team#1> trade 30-year-old third baseman <Alex Gomez:player#480> to the <Tucson Ocelots:team#14> for 18-year-old  minor league shortstop <Lee Cruz:player#5131> and 22-year-old  minor league closer <Steve Aydelott:player#2428>.",1538,1,480,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,14,5131,0,'',2428,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-9","The <Dallas Purple Aces:team#7> trade 28-year-old third baseman <Jose Medina:player#290> to the <Newport News Donkeys:team#28> for 29-year-old starting pitcher <Will Schulte:player#1802> and 22-year-old  minor league closer <Jose Juarez:player#4373>.",1539,7,290,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,28,1802,0,'',4373,0,'',0,0,'',0,0,'',0,0,'',0
"2018-7-10","The <Columbus Americans:team#21> trade 29-year-old closer <Cory Higgins:player#819> to the <Oklahoma City Eagles:team#24> for 26-year-old shortstop <Miguel Gutierrez:player#1055> and 24-year-old second baseman <Chris Witherspoon:player#1051>.",1543,21,819,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,24,1055,0,'',1051,0,'',0,0,'',0,0,'',0,0,'',0
